id,cost,talktime,validity,short description,long description
51,7,,1 day,Recharge of Rs. 7 by Aircel,45 MB 3G/2G Data 
53,17,,2 days,Recharge of Rs. 17 by Aircel,125 MB 3G/2G Data 
54,22,,28 days,Recharge of Rs. 22 by Aircel,125 MB 3G/2G Data 
55,24,,3 days,Recharge of Rs. 24 by Aircel,200 MB 3G/2G Data
57,37,,5 days,Recharge of Rs. 37 by Aircel,350 MB 3G/2G Data
58,47,,5 days,Recharge of Rs. 47 by Aircel,500 MB 3G/2G Data 
61,67,,7 days,Recharge of Rs. 67 by Aircel,350 MB 3G/2G Data
62,74,,5 days,Recharge of Rs. 74 by Aircel,2 GB 3G/2G Data
63,88,,14 days,Recharge of Rs. 88 by Aircel,700 MB 3G/2G Data
66,98,,28 days,Recharge of Rs. 98 by Aircel,1.5 GB 3G/2G Data 
67,99,,10 days,Recharge of Rs. 99 by Aircel,1 GB 3G/2G Data
68,119,,28 days,Recharge of Rs. 119 by Aircel,1 GB + 9GB Night 3G/2G Data
70,147,,28 days,Recharge of Rs. 147 by Aircel,500 MB 3G/2G Data
71,148,,28 days,Recharge of Rs. 148 by Aircel,2 GB +1 GB Night (1am to 6am) Data
72,155,,14 days,Recharge of Rs. 155 by Aircel,Unlimited A-A Calls -- 1 GB 3G/2G per day 
73,197,,28 days,Recharge of Rs. 197 by Aircel,4 GB + 2 GB Night 3G/2G Data
74,225,,30 days,Recharge of Rs. 225 by Aircel,2 GB 3G/2G limited data -- Unlimited Local & STD A2A calling FREE + 50000 Local & STD secs Free and Local & STD A2A calls @15P/Min + Local & STD A2O calls @ 25P/Min (90 Days)
75,255,,28 days,Recharge of Rs. 255 by Aircel,6 GB + 4 GB Night 3G/2G Data
76,289,,28 days,Recharge of Rs. 289 by Aircel,10 GB + 10 GB Unlimited Night 3G/2G Data
77,297,,28 days,Recharge of Rs. 297 by Aircel,Unlimited A-A Calls+ 24000 L/N secs + Other mobile calls @ 25P/Min -- 1 GB 3G/2G per day
78,333,,30 days,Recharge of Rs. 333 by Aircel,30 GB 3G/2G Data 
79,397,,28 days,Recharge of Rs. 397 by Aircel,4.5 GB Unlimited 3G/2G Data
80,697,,28 days,Recharge of Rs. 697 by Aircel,7.5 GB Unlimited 3G/2G Data
81,191,,14 days,Recharge of Rs. 191 by Aircel,Unlimited Calls -- 500 MB 3G/2G Data (T & C)
82,249,,28 days,Recharge of Rs. 249 by Aircel,Unlimited Local & STD Calls -- 500 MB U 3G/2G Data (T & C)
83,44,,3 days,Recharge of Rs. 44 by Aircel,1 GB Data
84,291,,28 days,Recharge of Rs. 291 by Aircel,UL Calls -- 1 GB 3G Data (T & C)
85,349,,28 days,Recharge of Rs. 349 by Aircel,Unlimited Local + STD Calls -- 1 GB 3G Data/Day 
