id,cost,talktime,validity,comments
1584,4,,5 days,All Airtel to Airtel calls @ 10 p/min. All other calls @ 30 p/min for 5 days. -- Applicable only for new subscribers as FRC/SRC
1585,51,25,84 days,50 MB 3G/4G data (30 days) -- Local mobile calls @ 1.5 p/sec. STD mobile calls @1.75 p/sec. LL calls @ 2.5 p/sec -- Applicable only for new subscribers as FRC/SRC
1586,54,,35 Days,All Unlimited Local + STD calls in National Roaming (35 Days). For 4G H/s and 4G SIM (84 days) -- Applicable only on FRC 449(T&C apply) -- Applicable only for new subscribers as FRC/SRC
1587,82,50,84 days,50 MB 3G/4G data (30 days) -- Local mobile calls @ 1.5 p/sec. STD mobile calls @1.75 p/sec. LL calls @ 2.5 p/sec -- Applicable only for new subscribers as FRC/SRC
1588,92,60,84 days,Local mobile calls @ 1.5 p/sec. STD mobile calls @1.75 p/sec. LL calls @ 2.5 p/sec. -- Applicable only for new subscribers as FRC/SRC
1589,101,65,84 days,50 MB 3G/4G data (30 days) -- Local mobile calls @ 1.5 p/sec. STD mobile calls @1.75 p/sec. LL calls @ 2.5 p/sec -- Applicable only for new subscribers as FRC/SRC
1590,144,,28 days,Unlimited Local & STD Airtel calls -- 2 GB data on 4G Handset with 4G SIM and 1 GB for others -- T&C apply -- Applicable only for new subscribers as FRC/SRC
1591,194,,28 days,"Unlimited local + STD A2A mobile calls & 150 minutes local+STD A2M calls -- 2 GB data for 4G handset, 1 GB for others -- Applicable only for new subscribers as FRC/SRC"
1592,293,,84 days,4G handset with 4G SIM: Unlimited Local+STD Airtel mobile -- 1 GB/day Data Other handset: Unlimited Local + STD -- 2 GB ata (35 days) -- T&C apply -- Applicable only for new subscribers as FRC/SRC
1593,344,,28 days,Unlimited all Local + STD calls -- 1 GB/day 3G/4G data -- T&C apply. -- Applicable only for new subscribers as FRC/SRC
1594,449,,84 days,Unlimted all Local + STD Calls -- 1 GB data/day on 4G Handset & 4G SIM -- Other handset Unlimted Local+STD Calls 2 GB & data (35 days) T&C apply -- Applicable only for new subscribers as FRC/SRC
