id,cost,talktime,validity,short description,long description
4708,5,5,1 day,Recharge of Rs. 5 by BSNL,5 On-Net SMSs
4709,13,15,2 days,Recharge of Rs. 13 by BSNL,10MB 2G/3G Data
4710,20,20,N.A,Recharge of Rs. 20 by BSNL,Full Talk value offer equal to Rs.20 from 15 to 20 Aug 2017. Other days talktime 14.95
4711,40,40,N.A,Recharge of Rs. 40 by BSNL,Full Talk value offer equal to Rs.40 from 15 to 20 Aug 2017. Other days talktime 30.9
4712,77,80,10 days,Recharge of Rs. 77 by BSNL,30MB 2G/3G Data
4713,176,176,10 days,Recharge of Rs. 176 by BSNL,200 MB 2G/3G Data  -- Available for Freedom plan customers only
4714,177,180,15 days,Recharge of Rs. 177 by BSNL,50MB 2G/3G Data
4715,188,220,14 days,Recharge of Rs. 188 by BSNL,Rs189 in main account + Rs31 in dedicated account -- 1 GB 2G/3G Data
4716,220,250,N.A,Recharge of Rs. 220 by BSNL,Talk value offer equal to Rs.250 from 15 to 20 Aug 2017. Other days talktime 220
4717,289,340,28 days,Recharge of Rs. 289 by BSNL,Rs289 in main account + Rs51 in dedicated account -- 1 GB 2G/3G data
4718,377,377,20 days,Recharge of Rs. 377 by BSNL,300 MB 2G/3G Data  -- Available for Freedom plan customers only
4719,389,460,30 days,Recharge of Rs. 389 by BSNL,Rs389 in main account + Rs71 in dedicated account -- 1 GB 2G/3G data.
4720,500,500,N.A,Recharge of Rs. 500 by BSNL,"Applicable to Per Second, Per Minute plans only"
4722,577,577,30 days,Recharge of Rs. 577 by BSNL,1 GB 2G/3G Data -- Available for Freedom plan customers only
4723,599,786,30 days,Recharge of Rs. 599 by BSNL,Talktime: Rs.507 in main account + Rs.279 in dedicated account (30 days) -- 10 on-net local SMS.
4725,1402,1402,30 days,Recharge of Rs. 1402 by BSNL,All national voice calls at 0.9 paisa per sec tariff for 30days -- 250 MB 2G/3G data for 30 days -- 250 SMS any net for 30 days
4736,111,90,20 days,Recharge of Rs. 111 by BSNL,Free 70 Min Onnet
4738,222,190,40 days,Recharge of Rs. 222 by BSNL,Free 110 Min Onnet
4739,239,80,14 days,Recharge of Rs. 239 by BSNL,1 GB 2G/3G Data
4745,47,20,21 days,Recharge of Rs. 47 by BSNL,Local OnNet calls at 20ps/min 
4746,48,22,2 days,Recharge of Rs. 48 by BSNL,500 MB 2G/3G Data free and beyond freebies.volume based data charging 5ps/MB from 0200 hours to 0600 hours
4747,71,20,30 days,Recharge of Rs. 71 by BSNL,Local any network call rate 30p per min and UV Rs.20
4748,84,24,60 days,Recharge of Rs. 84 by BSNL,All STD voice Calls at Rs.0.35 per min
4749,148,25,30 days,Recharge of Rs. 148 by BSNL,Free 1800 Min Localor STD Onnet calls (11PM to 6 AM)
4750,209,25,90 days,Recharge of Rs. 209 by BSNL,Local Call Anynet at 1 ps per 2 sec 
4751,451,80,60 days,Recharge of Rs. 451 by BSNL,2 GB 2G/3G Data
4759,125,,30 days,Recharge of Rs. 125 by BSNL,Free 177 Min Local or STD Anynet calls -- 200MB data -- 100 SMS
