id,cost,talktime,validity,comments
9139,250,250,N.A,Talktime of Rs. 250 for Rs. 250 recharge by Idea
9140,330,330,N.A,Talktime of Rs. 330 for Rs. 330 recharge by Idea
9141,400,400,N.A,Talktime of Rs. 400 for Rs. 400 recharge by Idea
9142,500,500,N.A,Talktime of Rs. 500 for Rs. 500 recharge by Idea
9143,550,550,N.A,Talktime of Rs. 550 for Rs. 550 recharge by Idea
9144,1000,1000,N.A,Talktime of Rs. 1000 for Rs. 1000 recharge by Idea
9145,1100,1100,N.A,Talktime of Rs. 1100 for Rs. 1100 recharge by Idea
9146,2000,2000,N.A,Talktime of Rs. 2000 for Rs. 2000 recharge by Idea
9147,2200,2200,N.A,Talktime of Rs. 2200 for Rs. 2200 recharge by Idea
9148,2500,2500,N.A,Talktime of Rs. 2500 for Rs. 2500 recharge by Idea
9149,3000,3000,N.A,Talktime of Rs. 3000 for Rs. 3000 recharge by Idea
