id,cost,talktime,validity,comments
7601,5,,1 day,30 MB 2G Data
7602,15,,3 days,90 MB 2G Data
7603,26,,5 days,150 MB 2G Data
7604,31,,28 days,100 MB 2G Data
7605,39,,7 days,225 MB 2G Data
7606,52,,28 days,"1GB 2G Data, for AON < 90 Days, 300MB 2G Data, for AON > 90 Days"
7607,54,,10 days,325 MB 2G Data
7608,58,,28 days,250 MB 2G Data
7609,74,,14 days,500 MB 2G Data
7610,95,,28 days,500 MB 2G Data
7611,96,,56 days,500 MB 2G Data
7612,98,,28 days,1GB 2G Data
7614,161,,30 days,1 GB 2G Data
7615,174,,28 days,1.25 GB 2G Data
7616,199,,30 days,1.25 GB Day Data + 1 GB Night 2G Data
7617,249,,30 days,3 GB Day Data + 1 GB Night 2G Data
7618,269,,28 days,5 GB 2G Data
7621,505,,365 days,5GB 2G Data
