id,cost,talktime,validity,short description,long description
14966,9,,2 days,Recharge of Rs. 9 by Indicom,1200 Local + STD Secs
14967,13,,28 days,Recharge of Rs. 13 by Indicom,Local On-Net mobile calls @ Re.1/10 mins -- All local off -net and all STD calls @ Re.1/3mins
14968,21,,28 days,Recharge of Rs. 21 by Indicom,Local/STD Mobile calls @36ps/min
14969,22,,30 days,Recharge of Rs. 22 by Indicom,Local & STD Mobile calls @ 30ps/min
14970,23,,28 days,Recharge of Rs. 23 by Indicom,Local On-Net mobile calls @ 20ps/min -- Local Off-Net mobile calls @ 30ps/min
14971,37,,28 days,Recharge of Rs. 37 by Indicom,All Local calls @ 30ps/min
14972,38,,28 days,Recharge of Rs. 38 by Indicom,Local/STD Mobile calls @25ps/min (upto 300 mins)
14973,41,,90 days,Recharge of Rs. 41 by Indicom,Local/STD Mobile calls @ 1ps/sec
14974,45,,28 days,Recharge of Rs. 45 by Indicom,Local/STD Mobile calls @1.2ps/2secs
14975,52,,21 days,Recharge of Rs. 52 by Indicom,Unlimited Local On-Net mobile calls
14976,55,,28 days,Recharge of Rs. 55 by Indicom,Local & STD Mobile calls @ 1.2p/2sec
14977,58,,84 days,Recharge of Rs. 58 by Indicom,"Local/STD Mobile calls @36ps/min, First 120 seconds of the day @ 2p/sec"
14978,63,,30 days,Recharge of Rs. 63 by Indicom,Local On-Net mobile calls @ 1ps/4secs -- Local Off-Net mobile calls @ 1ps/2secs
14979,65,,30 days,Recharge of Rs. 65 by Indicom,All Local calls @1ps/2secs
14980,74,,28 days,Recharge of Rs. 74 by Indicom,Unlimited Local On-Net mobile calls
14981,229,,28 days,Recharge of Rs. 229 by Indicom,120000 Local TATA Calling Seconds + 40000 Other Local Calling Seconds
14982,666,,28 days,Recharge of Rs. 666 by Indicom,2500 Local Mins
