id,cost,talktime,validity,short description,long description
1633,29,,30 days,Recharge of Rs. 29 by Airtel,75MB 2G/3G/4G .
1653,26,,3 days,Recharge of Rs. 26 by Airtel,150MB 3G
1654,47,,6 days,Recharge of Rs. 47 by Airtel,250MB
1657,96,,4 days,Recharge of Rs. 96 by Airtel,1GB Data
1658,98,,11 days,Recharge of Rs. 98 by Airtel,550MB
1659,101,,27 days,Recharge of Rs. 101 by Airtel,250MB
1660,124,,28 days,Recharge of Rs. 124 by Airtel,1GB 3G Night Data(12AM - 6AM)
1662,147,,7 days,Recharge of Rs. 147 by Airtel,1 GB 3G Data
1663,153,,28 days,Recharge of Rs. 153 by Airtel,600MB 3G
1664,169,,7 days,Recharge of Rs. 169 by Airtel,512 MB 3G Data
1667,249,,26 days,Recharge of Rs. 249 by Airtel,1.5GB 3G
1671,315,,28 days,Recharge of Rs. 315 by Airtel,1.5GB 3G
1674,415,,28 days,Recharge of Rs. 415 by Airtel,2.5GB 3G
1677,498,,28 days,Recharge of Rs. 498 by Airtel,1GB 3G Day + 5GB 3G Night Data
1679,515,,28 days,Recharge of Rs. 515 by Airtel,3.5GB 3G
1683,655,,26 days,Recharge of Rs. 655 by Airtel,5 GB UL 3G data. 5 GB Happy Hours Night data (3AM to 5AM)
1684,659,,28 days,Recharge of Rs. 659 by Airtel,5 GB Unlimited 3G Data
1685,759,,28 days,Recharge of Rs. 759 by Airtel,6 GB unlimited 3G Data
1688,992,,365 days,Recharge of Rs. 992 by Airtel,10GB Data
