id,cost,talktime,validity,short description,long description
9318,10,7.47,N.A,Recharge of Rs. 10 by Idea,Talktime of Rs. 7.47 for Rs. 10 recharge by Idea
9320,20,14.95,N.A,Recharge of Rs. 20 by Idea,Talktime of Rs. 14.95 for Rs. 20 recharge by Idea
9322,30,22.42,N.A,Recharge of Rs. 30 by Idea,Talktime of Rs. 22.42 for Rs. 30 recharge by Idea
9324,40,30.9,N.A,Recharge of Rs. 40 by Idea,Talktime of Rs. 30.9 for Rs. 40 recharge by Idea
9325,50,39.37,N.A,Recharge of Rs. 50 by Idea,Talktime of Rs. 39.37 for Rs. 50 recharge by Idea
9330,90,73.27,N.A,Recharge of Rs. 90 by Idea,Talktime of Rs. 73.27 for Rs. 90 recharge by Idea
9332,100,81.75,N.A,Recharge of Rs. 100 by Idea,Talktime of Rs. 81.75 for Rs. 100 recharge by Idea
9334,110,102,N.A,Recharge of Rs. 110 by Idea,Talktime of Rs. 102 for Rs. 110 recharge by Idea
9337,150,142,N.A,Recharge of Rs. 150 by Idea,Talktime of Rs. 142 for Rs. 150 recharge by Idea
9340,180,170,N.A,Recharge of Rs. 180 by Idea,Talktime of Rs. 170 for Rs. 180 recharge by Idea
