id,cost,talktime,validity,comments
12626,28,,4 days,70 Local Minutes
12627,34,,4 days,75 Local and STD Minutes
12628,38,,28 days,All Local+STD Calls @ 35p/min
12629,42,,28 days,All Local Calls @ 25p/min
12630,45,,10 days,135 Local Minutes
12631,54,,30 days,All calls at 45p/min ( Home = Roam & incoming Free )
12632,65,,28 days,All Local+STD Calls @ 30p/min
12633,84,,90 days,Local & STD All Calls @25p/min
12634,95,,45 days,All Local+STD Calls @ 30p/min
12635,128,,28 days,350 Local and STD Minutes
12636,145,,28 days,450 Local Minutes
12637,225,,28 days,650 Local and STD Minutes
