id,cost,talktime,validity,comments
12584,10,7.7,N.A,Talktime of Rs. 7.7 for Rs. 10 recharge by Reliance GSM
12585,20,15.39,N.A,Talktime of Rs. 15.39 for Rs. 20 recharge by Reliance GSM
12586,30,23.09,N.A,Talktime of Rs. 23.09 for Rs. 30 recharge by Reliance GSM
12588,40,31.78,N.A,Talktime of Rs. 31.78 for Rs. 40 recharge by Reliance GSM
12589,50,40.48,N.A,Talktime of Rs. 40.48 for Rs. 50 recharge by Reliance GSM
12590,60,49.17,N.A,Talktime of Rs. 49.17 for Rs. 60 recharge by Reliance GSM
12592,70,57.87,N.A,Talktime of Rs. 57.87 for Rs. 70 recharge by Reliance GSM
12593,80,66.57,N.A,Talktime of Rs. 66.57 for Rs. 80 recharge by Reliance GSM
12596,100,83.96,N.A,Talktime of Rs. 83.96 for Rs. 100 recharge by Reliance GSM
12597,200,170.91,N.A,Talktime of Rs. 170.91 for Rs. 200 recharge by Reliance GSM
12598,300,257.87,N.A,Talktime of Rs. 257.87 for Rs. 300 recharge by Reliance GSM
12599,400,344.83,N.A,Talktime of Rs. 344.83 for Rs. 400 recharge by Reliance GSM
12600,1000,866.57,N.A,Talktime of Rs. 866.57 for Rs. 1000 recharge by Reliance GSM
