id,cost,talktime,validity,short description,long description
5028,3,,1 day,Recharge of Rs. 3 by BSNL,Data usage chargeable @9paise/1MB from 02:00 hours to 06:00 hours. Voucher benefit is not available in MTNL area.
5029,4,,1 day,Recharge of Rs. 4 by BSNL,20MB 2G/3G Data
5030,17,,1 day,Recharge of Rs. 17 by BSNL,110 MB 2G/3G
5031,25,,2 days,Recharge of Rs. 25 by BSNL,500 MB 2G/3G Data & beyond free usage
5032,39,,5 days,Recharge of Rs. 39 by BSNL,200MB 2G/3G -- Charges after free usage: 3ps/10KB 
5033,46,,2 days,Recharge of Rs. 46 by BSNL,1GB 2G/3G night data 
5034,56,,21 days,Recharge of Rs. 56 by BSNL,250 MB 2G/3G Data
5035,63,,28 days,Recharge of Rs. 63 by BSNL,Data usage chargeable @9paise/1MB from 02:00 hours to 06:00 hours. Voucher benefit is not available in MTNL area.
5036,68,,1 day,Recharge of Rs. 68 by BSNL,1 GB 2G/3G Data -- If recharged between 28/10/2016 to 05/11/2016 double data benefit i.e. 2GB will be available
5037,78,,3 days,Recharge of Rs. 78 by BSNL,2GB 2G/3G data available both in home LSA and National Roaming. Data charge beyond freebies is 3paise/10KB -- Double data offer from 15 to 20 Aug 2017
5038,98,,10 days,Recharge of Rs. 98 by BSNL,1300MB 2G/3G data available both in home LSA and National Roaming. Data charge beyond freebies is 3paise/10KB -- Double data offer from 15 to 20 Aug 2017
5039,101,,26 days,Recharge of Rs. 101 by BSNL,Unlimited local/STD BSNL to BSNL voice calls -- 1 GB 2G/3G Data.
5040,103,,5 days,Recharge of Rs. 103 by BSNL,1 GB 2G/3G data and free TV channels
5041,109,,28 days,Recharge of Rs. 109 by BSNL,650MB 2G/3G data available both in home LSA and National Roaming. Data charge beyond freebies is 3paise/10KB. -- Double data offer from 15 to 20 Aug 2017
5042,155,,17 days,Recharge of Rs. 155 by BSNL,1.5GB 2G/3G data available both in home LSA and National Roaming. Data charge beyond freebies is 3paise/10KB -- Double data offer from 15 to 20 Aug 2017
5043,156,,10 days,Recharge of Rs. 156 by BSNL,2 GB 2G/3G data. Free data is also available in National Roaming. Data charges beyond freebies is 3paise/10KB.
