id,cost,talktime,validity,short description,long description
12647,10,7.7,N.A,Recharge of Rs. 10 by RelianceGSM,Talktime of Rs. 7.7 for Rs. 10 recharge by Reliance GSM
12648,20,15.39,N.A,Recharge of Rs. 20 by RelianceGSM,Talktime of Rs. 15.39 for Rs. 20 recharge by Reliance GSM
12649,30,23.09,N.A,Recharge of Rs. 30 by RelianceGSM,Talktime of Rs. 23.09 for Rs. 30 recharge by Reliance GSM
12650,40,31.78,N.A,Recharge of Rs. 40 by RelianceGSM,Talktime of Rs. 31.78 for Rs. 40 recharge by Reliance GSM
12651,50,40.48,N.A,Recharge of Rs. 50 by RelianceGSM,Talktime of Rs. 40.48 for Rs. 50 recharge by Reliance GSM
12652,60,55,N.A,Recharge of Rs. 60 by RelianceGSM,Talktime of Rs. 55 for Rs. 60 recharge by Reliance GSM
12656,90,75.26,N.A,Recharge of Rs. 90 by RelianceGSM,Talktime of Rs. 75.26 for Rs. 90 recharge by Reliance GSM
12658,100,83.96,N.A,Recharge of Rs. 100 by RelianceGSM,Talktime of Rs. 83.96 for Rs. 100 recharge by Reliance GSM
12659,110,92.65,N.A,Recharge of Rs. 110 by RelianceGSM,Talktime of Rs. 92.65 for Rs. 110 recharge by Reliance GSM
12660,120,101.35,N.A,Recharge of Rs. 120 by RelianceGSM,Talktime of Rs. 101.35 for Rs. 120 recharge by Reliance GSM
12662,200,170.91,N.A,Recharge of Rs. 200 by RelianceGSM,Talktime of Rs. 170.91 for Rs. 200 recharge by Reliance GSM
12663,300,257.87,N.A,Recharge of Rs. 300 by RelianceGSM,Talktime of Rs. 257.87 for Rs. 300 recharge by Reliance GSM
12664,400,344.83,N.A,Recharge of Rs. 400 by RelianceGSM,Talktime of Rs. 344.83 for Rs. 400 recharge by Reliance GSM
