id,cost,talktime,validity,short description,long description
16467,5,,1 hour,Recharge of Rs. 5 by Vodafone,Unlimited 2G data 
16468,8,,1 day,Recharge of Rs. 8 by Vodafone,45 MB Data @ 2G Speed. Post 45MB you will be charged 4p/10kb
16469,16,,2 days,Recharge of Rs. 16 by Vodafone,90 MB Data @2G Speed. Post 90MB you will be charged 4p/10kb
16470,17,,1 day,Recharge of Rs. 17 by Vodafone,24-Hour Unlimited @ 2G Speed. Post 24-hours you will be charged 4p/10KB
16472,27,,60 days,Recharge of Rs. 27 by Vodafone,40 MB Data @2G Speed. Post 40MB you will be charged 4p/10kb
16473,28,,3 days,Recharge of Rs. 28 by Vodafone,160 MB Data @ 2G Speed. Post 160MB you will be charged 4p/10kb
16474,34,,28 days,Recharge of Rs. 34 by Vodafone,115 MB Data @ 2G Speed. Post 115MB you will be charged 4p/10kb
16475,53,,7 days,Recharge of Rs. 53 by Vodafone,300 MB Data @2G Speed. Post 300MB you will be charged 4p/10kb
16476,57,,60 days,Recharge of Rs. 57 by Vodafone,80 MB Data @2G Speed. Post 80MB you will be charged 4p/10kb
16477,77,,60 days,Recharge of Rs. 77 by Vodafone,120 MB Data @2G Speed. Post 120MB you will be charged 4p/10kb
16478,98,,28 days,Recharge of Rs. 98 by Vodafone,1 GB/Day Data @ 2G Speed. Post 1GB you will be charged 4p/10kb
