id,cost,talktime,validity,short description,long description
1881,10,7.47,N.A,Recharge of Rs. 10 by Airtel,Talktime of Rs. 7.47 for Rs. 10 recharge by Airtel
1882,20,14.95,N.A,Recharge of Rs. 20 by Airtel,Talktime of Rs. 14.95 for Rs. 20 recharge by Airtel
1883,30,22.42,N.A,Recharge of Rs. 30 by Airtel,Talktime of Rs. 22.42 for Rs. 30 recharge by Airtel
1884,40,30.9,N.A,Recharge of Rs. 40 by Airtel,Talktime of Rs. 30.9 for Rs. 40 recharge by Airtel
1885,50,39.37,N.A,Recharge of Rs. 50 by Airtel,Talktime of Rs. 39.37 for Rs. 50 recharge by Airtel
1886,60,47.85,N.A,Recharge of Rs. 60 by Airtel,Talktime of Rs. 47.85 for Rs. 60 recharge by Airtel
1887,70,56.32,N.A,Recharge of Rs. 70 by Airtel,Talktime of Rs. 56.32 for Rs. 70 recharge by Airtel
1888,80,64.8,N.A,Recharge of Rs. 80 by Airtel,Talktime of Rs. 64.8 for Rs. 80 recharge by Airtel
1889,90,73.27,N.A,Recharge of Rs. 90 by Airtel,Talktime of Rs. 73.27 for Rs. 90 recharge by Airtel
1890,100,81.75,N.A,Recharge of Rs. 100 by Airtel,Talktime of Rs. 81.75 for Rs. 100 recharge by Airtel
1891,110,105,N.A,Recharge of Rs. 110 by Airtel,Talktime of Rs. 105 for Rs. 110 recharge by Airtel
1892,120,98.69,N.A,Recharge of Rs. 120 by Airtel,Talktime of Rs. 98.69 for Rs. 120 recharge by Airtel
1893,130,107.17,N.A,Recharge of Rs. 130 by Airtel,Talktime of Rs. 107.17 for Rs. 130 recharge by Airtel
1894,160,132.59,N.A,Recharge of Rs. 160 by Airtel,Talktime of Rs. 132.59 for Rs. 160 recharge by Airtel
1895,210,174.97,N.A,Recharge of Rs. 210 by Airtel,Talktime of Rs. 174.97 for Rs. 210 recharge by Airtel
1897,260,217.34,N.A,Recharge of Rs. 260 by Airtel,Talktime of Rs. 217.34 for Rs. 260 recharge by Airtel
1898,410,344.46,N.A,Recharge of Rs. 410 by Airtel,Talktime of Rs. 344.46 for Rs. 410 recharge by Airtel
1899,550,463.1,N.A,Recharge of Rs. 550 by Airtel,Talktime of Rs. 463.1 for Rs. 550 recharge by Airtel
