id,cost,talktime,validity,comments
5189,4,,1 day,20MB 2G/3G Data
5190,14,,1 day,90 MB 2G/3G Data
5191,29,,3 days,150 MB 2G/3G
5192,35,,5 days,200 MB 2G/3G
5193,53,,21 days,250MB 2G/3G Data
5194,68,,1 day,1 GB 2G/3G Data
5195,78,,3 days,2GB  2G/3G Data -- Double data offer from 15 to 20 Aug 2017
5196,86,,30 days,1 GB 2G/3G Data -- Applicable to PoliceVPN only
5197,96,,10 days,1300MB  2G/3G Data -- Double data offer from 15 to 20 Aug 2017
5198,103,,5 days,1 GB 2G/3G Data -- No.of free TV Channels equal to 140+Channels provided by M s Digivive Services PvtLtd
5199,145,,30 days,2 GB 2G/3G Data -- Applicable to PoliceVPN only
5200,155,,17 days,1.5GB  2G/3G Data -- Double data offer from 15 to 20 Aug 2017
5201,156,,10 days,2 GB 2G/3G Data. Data charges after freebies 3P/10KB
5202,178,,20 days,1 GB 2G/3G Data
5203,179,,20 days,1 GB 2G/3G Data -- No.of Free TV Channels equel to all Channels provided by Digivive Services Pvt. Ltd
5204,182,,20 days,1 GB 2G/3G Data
5205,198,,21 days,2.2GB  2G/3G Data -- Double data offer from 15 to 20 Aug 2017
5206,211,,15 days,1 GB 2G/3G Data with MobileTV
5207,223,,28 days,1 GB 2G/3G Data -- 80 Free TV Channels by M/s SITI Networks Limited
5208,241,,30 days,2.7GB  2G/3G Data -- Double data offer from 15 to 20 Aug 2017
5209,269,,21 days,On-Net (Local/STD) Calls Free. @25Min/day Off-Net Call Free and thereafter @25p/Min -- 1 GB/Day  DATA FREE.
5210,292,,30 days,3.5GB  2G/3G Data -- Double data offer from 15 to 20 Aug 2017
5211,333,,56 days,"Triple Ace_333: 3 GB/Day 2G/3G Data, Post 3GB/day unlimited internet @ 80kbps"
5212,339,,26 days,Unlimited local/STD BSNL to BSNL + Local/STD BSNL to Others: 30 minutes/day and 25P/minutes after that 30 minutes/day -- Unlimited 2G/3G data (with FUP of 3 GB per day with no speed restriction and thereafter with speed restriction of 80kbps.)
5213,349,,26 days,DilKholkeBolSTV_349: Unlimited voice (Local/STD) in Home LSA -- Unlimited 2G/3G Data (speed reduced to 80kbps after 2.5 GB)
5214,395,,60 days,NehleperDehlaSTV_395: Unlimited 2G/3G Data (2 GB/Day.Speed reduced to 80kbps after 2 GB/day) -- Free 3000 Minutes On-net Voice (Local/STD) + Free 1800 Minutes Off-net Voice (Local/STD).(Callcharges after free calls 20ps/Min.)
5215,398,,30 days,Data Unlimited and Speed 80Kbps after 2GB
5216,444,,90 days,"Chaukka_444: 4 GB/Day 2G/3G Data, Post 4GB/day unlimited internet @ 80kbps"
5217,518,,30 days,5 GB 2G/3G Data with no speed restriction -- Beyond that 128 Kbps speed unlimited data. -- Applicable to PoliceVPN only
5218,549,,30 days,6 GB 2G/3G Data
5219,561,,90 days,8GB  2G/3G Data -- Double data offer from 15 to 20 Aug 2017
5220,597,,180 days,6GB 2G/3G Data
5221,601,,90 days,3 GB 2G/3G Data -- Charges after free usage: 2p/10KB -- 
5222,629,,30 days,Data Unlimited and Speed 80Kbps after 3GB
5223,766,,30 days,7 GB 2G/3G Data with no speed restriction -- Beyond that 128 Kbps speed unlimited data. -- Applicable to PoliceVPN only
5224,821,,120 days,12GB  2G/3G Data -- Double data offer from 15 to 20 Aug 2017
5225,863,,365 days,12 GB 2G/3G Data -- Applicable to PoliceVPN only
5226,1036,,30 days,10 GB 2G/3G Data with no speed restriction -- Beyond 128 Kbps speed unlimited data. -- Applicable to PoliceVPN only
5227,1099,,30 days,Unlimited 2G/3G Data with no speed restriction.
5228,1197,,365 days,14GB 2G/3G Data
5229,1264,,30 days,Unlimited 2G/3G Data with no speed restriction. -- Applicable to PoliceVPN only
5230,1438,,365 days,24 GB 2G/3G Data -- Applicable to PoliceVPN only
5231,1498,,365 days,36GB  2G/3G Data -- Double data offer from 15 to 20 Aug 2017
5232,1949,,270 days,40GB  2G/3G Data -- Double data offer from 15 to 20 Aug 2017
5233,2399,,60 days,Data Unlimited and Speed 80Kbps after 16GB
5234,2798,,365 days,72GB  2G/3G Data -- Double data offer from 15 to 20 Aug 2017
5235,3099,,60 days,15 GB 2G/3G Data -- Unlimited Onnet Voice calls with Roaming + 500 Min offnet calls with roaming.
5236,3302,,90 days,30 GB 2G/3G Data -- Charges after free usage: 2p/10KB -- 
5237,3998,,365 days,110GB  2G/3G Data -- Double data offer from 15 to 20 Aug 2017
5238,4498,,365 days,160GB  2G/3G Data -- Double data offer from 15 to 20 Aug 2017
