id,cost,talktime,validity,short description,long description
5240,26,,26 hours,Recharge of Rs. 26 by BSNL,U/L voice (local/STD) (Onnet/offnet) in Home LSA -- 1 onnet local SMS
5241,34,,1 day,Recharge of Rs. 34 by BSNL,72 MINUTES LOCAL and STD CALLS ONNET -- 
5242,42,,21 days,Recharge of Rs. 42 by BSNL,For Per Minute plan:(a)10paisa/min for On-net voice calls (Local/STD)(b)30paisa/min for Off-netvoicecalls(Local/STD) -- For Per Second plan:(a)1paisa/3sec for On-net voice calls (Local/STD) (b)2paisa/3 sec for Off-net Voice calls (Local/STD)
5243,44,,25 days,Recharge of Rs. 44 by BSNL,Local any Network calls 1.4ps per 2sec -- 
5244,47,,21 days,Recharge of Rs. 47 by BSNL,Local Onnet calls 20ps per min -- 
5245,65,,27 days,Recharge of Rs. 65 by BSNL,STV VOICE LOCAL ONNET AT 15P PER MIN -- 
5246,69,,30 days,Recharge of Rs. 69 by BSNL,Local call to anynet at 1paisa per 2 Sec
5247,88,,48 days,Recharge of Rs. 88 by BSNL,For Per Minute plan:(a)10paisa/min for On-net voice calls (Local/STD)(b)30paisa/min for Off-netvoicecalls(Local/STD) -- For Per Second plan:(a)1paisa/3sec for On-net voice calls (Local/STD) (b)2paisa/3 sec for Off-net Voice calls (Local/STD)
5248,101,,7 days,Recharge of Rs. 101 by BSNL,All Voice Calls FREE (Local/STD On-Net/Off-Net) in Home LSA.
5249,122,,75 days,Recharge of Rs. 122 by BSNL,Local any Network calls 1.4ps per 2sec -- 
5250,135,,28 days,Recharge of Rs. 135 by BSNL,300 min local or STD calls to any network
5251,143,,30 days,Recharge of Rs. 143 by BSNL,U/L On net (local/STD) voice calls + U/L Off-net  (local/STD) voice calls (in Home LSA Only) -- The Free off-net (Local/STD) voice calls is limited to 20min/day -- This STV is applicable only for Plan_144 customers
5252,149,,26 days,Recharge of Rs. 149 by BSNL,19800 Seconds Voice Calls (Local/STD) Free to any network in Home LSA Only.
5253,152,,30 days,Recharge of Rs. 152 by BSNL,Local and STD Onnet calls 10ps per min and Offnet calls 30ps per min -- 
5254,159,,28 days,Recharge of Rs. 159 by BSNL,Free 20300 Sec Loc or STD calls to any network
5255,164,,5 days,Recharge of Rs. 164 by BSNL,Unlimited Local plus STD Onnet calls -- 
5256,181,,30 days,Recharge of Rs. 181 by BSNL,23800 Sec Local/STD Voice Calls to Any N/w
5257,201,,28 days,Recharge of Rs. 201 by BSNL,Free 26800 Secs  to Any Network Local and STD Calls
5258,291,,90 days,Recharge of Rs. 291 by BSNL,Local Onnet mobile calls 10ps per min and other local calls 49 ps per min
5259,344,,24 days,Recharge of Rs. 344 by BSNL,Unlimited Local Onnet. -- 
5260,359,,60 days,Recharge of Rs. 359 by BSNL,Free 52000 Secs to Any Network Local and STD Calls
5261,449,,84 days,Recharge of Rs. 449 by BSNL,1400 min Loc or STD to any network
5262,574,,27 days,Recharge of Rs. 574 by BSNL,Unlimited Local On net and 500 Min free Local STD calls Any net. -- 
5263,699,,30 days,Recharge of Rs. 699 by BSNL,"Local Onnet calls Unlimited free, Local Offnet calls 1500 min free"
5264,701,,28 days,Recharge of Rs. 701 by BSNL,Unlimited Local or STD Onnet calls -- 
5265,894,,81 days,Recharge of Rs. 894 by BSNL,Unlimited Local Onnet. -- 
