id,cost,talktime,validity,comments
5113,13,15,2 days,10 MB 2G/3G Data
5114,20,20,N.A,Full Talk value offer equal to Rs.20 from 15 to 20 Aug 2017. Other days talktime 14.95
5115,40,40,N.A,Full Talk value offer equal to Rs.40 from 15 to 20 Aug 2017. Other days talktime 30.9
5116,58,58,10 days,5 minutes free night anynet calling from 11:00PM to 6:00am
5117,60,60,N.A,Full Talk value offer equal to Rs.60 from 15 to 20 Aug 2017. Other days talktime 47.85
5118,77,80,10 days,30 MB 2G/3G Data
5119,80,80,N.A,Full Talk value offer equal to Rs.80 from 15 to 20 Aug 2017. Other days talktime 64.8
5120,120,130,N.A,Talk value offer equal to Rs.130 from 15 to 20 Aug 2017. Other days talktime 98.69
5121,160,180,N.A,Talk value offer equal to Rs.180 from 15 to 20 Aug 2017. Other days talktime 132.59
5122,169,169,20 days,2 GB 2G/3G Data
5123,176,176,10 days,200 MB 2G/3G Data -- Available for Freedom plan customers only
5124,177,180,15 days,50 MB 2G/3G Data
5125,188,220,14 days,Rs189 in main account + Rs31 in dedicated account -- 1 GB 2G/3G Data
5126,189,189,24 days,3 GB 2G/3G Data
5127,220,250,N.A,Talk value offer equal to Rs.250 from 15 to 20 Aug 2017. Other days talktime 220
5128,289,340,28 days,Rs289 in main account + Rs51 in dedicated account -- 1 GB 2G/3G data
5129,377,377,20 days,300 MB 2G/3G Data -- Available for Freedom plan customers only
5130,389,460,30 days,Rs389 in main account + Rs71 in dedicated account -- 1 GB 2G/3G data.
5131,577,577,30 days,1 GB 2G/3G Data  -- Available for Freedom plan customers only
5132,599,786,30 days,Talktime: Rs.507 in main account + Rs.279 in dedicated account (30 days) -- 10 on-net local SMS.
5133,1402,1402,30 days,All national voice calls @0.9p/sec -- 250 MB Data -- 250 SMS any net
5168,48,22,2 days,500 MB 2G/3G Data free and beyond freebies 5paisa/MB from 2-00 hrs to 6-00hrs.
5169,62,35,30 days,Local and STD on net Re 1/3 min and off net Rs 1.2/3 min
5170,71,20,30 days,Local Any Network 30ps per min and UV Rs 20
5171,81,20,30 days,800 Minutes Local or STD Onnet Night(11PM to 06AM) and Rs20 usage value
5172,148,25,30 days,1800 Minutes Local or STD Onnet Night(11PM to 06AM) and Rs25 usage value
5173,209,25,90 days,Local call to any net at 1paisa per 2 sec 
5174,213,50,90 days,Local any Network calls 30ps/min
5175,239,80,14 days,1 GB 2G/3G -- Charges after free usage: 3ps/10KB
5176,451,80,60 days,2 GB 2G/3G Data
5184,125,,30 days,Free 177 Min Local or STD Anynet calls -- 200MB data -- 100 SMS
5186,224,,26 days,20000 Seconds Voice Calls (Local/STD) Free to any N/w in Home LSA -- 500 MB DATA & 200 SMS Free to any N/w (Local/National) in Home LSA and While on roaming.
5187,82,,14 days,400 MB 2G/3G Data -- Free 400 SMS (Local/National any network)
5188,99,,25 days,Local calls from BSNL mobile to BSNL mobile  @10ps/min -- Local calls BSNL mobile to LL/WLL/other NW @49 ps/min -- Local SMS at 40 ps/SMS.
5289,57,,30 days,Free Local Onnet video calls 125 minutes
