id,cost,talktime,validity,short description,long description
16564,5,,1 hour,Recharge of Rs. 5 by Vodafone,Unlimited 2G data 
16565,8,,1 day,Recharge of Rs. 8 by Vodafone,"45 MB 2G data, Post free usage 4p/10KB"
16566,17,,2 days,Recharge of Rs. 17 by Vodafone,"95 MB 2G Data, Post free usage 4p/10KB"
16567,25,,4 days,Recharge of Rs. 25 by Vodafone,"140 MB 2G Data, Post free usage 4p/10KB"
16568,33,,28 days,Recharge of Rs. 33 by Vodafone,"110 MB 2G data, Post free usage 4p/10KB"
16569,49,,7 days,Recharge of Rs. 49 by Vodafone,"275 MB 2G Data, Post free usage 4p/10KB"
16570,63,,7 days,Recharge of Rs. 63 by Vodafone,"350 MB 2G Data, Post free usage 4p/10KB"
16571,98,,14 days,Recharge of Rs. 98 by Vodafone,"550 MB 2G Data, Post free usage 4p/10KB"
16572,124,,14 days,Recharge of Rs. 124 by Vodafone,"700 MB 2G Data, Post free usage 4p/10KB"
16573,148,,21 days,Recharge of Rs. 148 by Vodafone,"800 MB 2G Data, Post free usage 4p/10KB"
16574,196,,28 days,Recharge of Rs. 196 by Vodafone,Get assured benefit of 1.25GB and upto 3GB 2G Internet with hero recharge.
16575,199,,25 days,Recharge of Rs. 199 by Vodafone,"1.5 GB 2G Data, Post free usage unlimited data @ 40 kbps speed"
16576,209,,28 days,Recharge of Rs. 209 by Vodafone,"1.5 GB 2G Data, Post free usage unlimited data @ 40 kbps speed"
16577,225,,28 days,Recharge of Rs. 225 by Vodafone,"2GB 2G Data, Post free usage unlimited data @ 40 kbps speed"
16578,248,,28 days,Recharge of Rs. 248 by Vodafone,"2.5 GB 2G Data, Post free usage unlimited data @ 40 kbps speed"
