id,cost,talktime,validity,short description,long description
2075,51,,1 day,Recharge of Rs. 51 by Airtel,1 GB 3G/4G data
2076,101,,5 days,Recharge of Rs. 101 by Airtel,1 GB 3G/4G Data -- Data Sharing is not applicable
2077,121,,28 days,Recharge of Rs. 121 by Airtel,1 GB 3G/4G data  -- Benefit available post recharge of Rs 498 before 31st Mar 17.
2078,146,,3 days,Recharge of Rs. 146 by Airtel,1 GB 3G/4G Data -- 3G/4G Data accumulation is applicable
2079,179,,28 days,Recharge of Rs. 179 by Airtel,1 GB 3G/4G data
2080,296,,28 days,Recharge of Rs. 296 by Airtel,2 GB 3G/4G Data -- 3G/4G Data accumulation is applicable
2081,345,,28 days,Recharge of Rs. 345 by Airtel,Unlimited All Local & STD calls -- 1 GB 3G/4G data on 4G H/S(45 MB for other Handset). T&C Apply. 1 GB Happy Hours night data for 4G H/S & 45MB for others (3AM to 5AM)
2082,349,,28 days,Recharge of Rs. 349 by Airtel,Unlimited all Local + STD calls -- 1 GB/day 3G/4G data -- T&C apply.
2083,399,,28 days,Recharge of Rs. 399 by Airtel,UL All Loc+STD calls -- 1 GB 3G/4G data per day on 4G H/S (1.25 GB for other H/S) 
2084,499,,28 days,Recharge of Rs. 499 by Airtel,UL All Loc+STD calls -- 1.5 GB 3G/4G data per day on 4G H/S(2 GB for other H/S) 
2085,549,,28 days,Recharge of Rs. 549 by Airtel,Unlimited all Local + STD calls -- 2 GB/day 3G/4G data -- T&C apply.
2086,648,,28 days,Recharge of Rs. 648 by Airtel,UL All Loc+STD calls -- 2.5 GB 3G/4G data per day on 4G H/S (3.5 GB for other H/S).T&C Apply
2087,799,,28 days,Recharge of Rs. 799 by Airtel,Unlimited all Local + STD calls -- 3 GB/day 3G/4G data -- T&C apply.
2088,899,,28 days,Recharge of Rs. 899 by Airtel,UL All Loc+STD calls -- 3.5 GB 3G/4G data per day on 4G H/S(6 GB for other H/S) 
2089,992,,365 days,Recharge of Rs. 992 by Airtel,10 GB 3G/4G data
2090,999,,28 days,Recharge of Rs. 999 by Airtel,Unlimited all Local + STD calls -- 4 GB/day 3G/4G data -- T&C apply.
2091,1198,,28 days,Recharge of Rs. 1198 by Airtel,UL All Loc+STD calls -- 5 GB 3G/4G data per day on 4G H/S(9 GB for other H/S) 
2092,145,,28 days,Recharge of Rs. 145 by Airtel,Unlimited All Local & STD Airtel Mobile calls -- 300 MB 3G/4G data for 4G H/S (45 MB for other Handset). T&C Apply
2093,149,,28 days,Recharge of Rs. 149 by Airtel,Unlimited All Local & STD Airtel Mobile calls -- 300 MB 3G/4G data for 4G Handset (50 MB for other Handset). T&C Apply
