id,cost,talktime,validity,comments
9612,5,,1 hour,Unlimited 2G Data -- Overage: 4P/10KB -- 
9613,6,,1 day,30 MB Data -- Overage: 4P/10KB -- Emergency Data Services -- 
9614,7,,1 day,40 MB Data -- Overage: 4P/10KB -- 
9616,8,,1 day,40 MB Data -- Overage: 4P/10KB -- 
9617,13,,2 days,75 MB Data -- Overage: 4P/10KB -- 
9618,18,,1 day,Unlimited 2G Data  -- Overage: 4P/10KB -- 
9619,25,,5 days,500 MB Data -- Overage: 4P/10KB -- 
9620,28,,28 days,250 MB Data -- Overage: 4p/10KB  -- 
9621,37,,28 days,125 MB Data -- Overage: 4P/10KB -- 
9622,52,,7 days,500 MB Data -- Overage: 4p/10KB -- 
9624,72,,10 days,400 MB Data  -- Overage: 4P/10KB  -- 
9625,75,,11 days,425 MB Data  -- Overage: 4P/10KB  -- 
9626,98,,28 days,325 MB Data -- Overage: 4P/10KB -- 
9627,106,,28 days,525 MB Data -- Overage: 4P/10KB  -- 
9628,107,,12 days,600 MB Data  -- Overage: 4P/10KB -- 
9629,125,,18 days,700 MB Data -- Overage: 4P/10KB  -- 
9630,135,,15 days,750 MB Data  -- Overage: 4P/10KB  -- 
9631,148,,15 days,575 MB Data -- Overage: 4p/10KB -- 
9632,154,,18 days,850 MB Data  -- Overage: 4P/10KB -- 
9633,167,,20 days,900 MB Data -- Overage: 4P/10KB  -- 
9635,195,,28 days,Unlimited 2G: 1.25 GB FUP Data -- FUP limit: Speed post 1.25 GB @ 40Kbps -- 
9636,205,,28 days,Unlimited 2G: 1.30 GB FUP Data -- FUP limit: Speed post 1.30 GB @ 40Kbps  -- 
9637,208,,28 days,1 GB day +1 GB night -- Overage: 4P/10KB  -- 
9638,255,,28 days,Unlimited 2G: 3 GB FUP Data -- FUP limit: Speed post 3 GB Data @ 40Kbps -- 
9639,294,,28 days,Unlimited 2G: 3.25 GB FUP Data -- FUP limit: Speed post 3.25 GB Data @ 40Kbps -- 
9642,399,,28 days,Unlimited 2G : 4 GB FUP Data -- FUP limit: Speed post 4 GB Data @ 40Kbps
