id,cost,talktime,validity,short description,long description
15023,25,25,3 days,Recharge of Rs. 25 by Indicom,1 local/National SMS free valid for same day 
15024,51,51,5 days,Recharge of Rs. 51 by Indicom,Talktime: 41.35 (Unrestricted validity) -- Talktime Rs 9.65 (5 days) -- 51 Local On-Net mins (5 days)
15025,55,55,7 days,Recharge of Rs. 55 by Indicom,1 local Tata to Tata min free valid for same day
15026,75,75,N.A,Recharge of Rs. 75 by Indicom,Talktime: core Validity -- 1 Local/STD SMS (Valid for same day)
15027,85,85,12 days,Recharge of Rs. 85 by Indicom,1 local Tata to Tata min free valid for same day
15029,109,109,20 days,Recharge of Rs. 109 by Indicom,Talktime valid for 20 days -- 1 local Tata to Tata min free valid for same day
15030,149,149,35 days,Recharge of Rs. 149 by Indicom,200 MB Data 
15032,151,151,5 days,Recharge of Rs. 151 by Indicom,151 Local On-Net minutes (5 days)
15033,177,177,28 days,Recharge of Rs. 177 by Indicom,Talktime unrestricted validity -- All Local/STD mobile calls @ 1.2p/sec
15035,199,199,28 days,Recharge of Rs. 199 by Indicom,1 GB Data (28 days)
15037,222,222,28 days,Recharge of Rs. 222 by Indicom,Talktime unrestricted validity -- All Local/STD mobile calls @ 1.2p/sec
15039,251,251,5 days,Recharge of Rs. 251 by Indicom,251 Local On-Net minutes (5 days)
15040,277,277,28 days,Recharge of Rs. 277 by Indicom,Talktime unrestricted validity -- All Local/STD mobile calls @ 1p/sec
15051,22,20,30 days,Recharge of Rs. 22 by Indicom,10 Local T2T min
15052,46,30,30 days,Recharge of Rs. 46 by Indicom,5 Local Off-Net Mins
15054,57,20,90 days,Recharge of Rs. 57 by Indicom,Local/STD Mobile calls @ 25p/ min -- Talktime: Valid till subscribers account validity
15055,64,50,N.A,Recharge of Rs. 64 by Indicom,45 Local/National SMS for 45 days
15056,69,60,30 days,Recharge of Rs. 69 by Indicom,15 Local Tata to Tata min
15057,86,75,30 days,Recharge of Rs. 86 by Indicom,75 Local Tata to Tata secs valid for 30 days
15058,104,92,30 days,Recharge of Rs. 104 by Indicom,Talktime (Rs.): 75 on the day of recharge and Rs.17 on 31st day of recharge and 15 Local Tata to Tata min
15064,126,,28 days,Recharge of Rs. 126 by Indicom,28 GB Data -- Unlimited Local/STD Tata to Tata Calls -- Applicable for Prepaid CIMO customers.
15066,348,,28 days,Recharge of Rs. 348 by Indicom,Unlimited Local/STD calls -- 2 GB Data
