id,cost,talktime,validity,short description,long description
16717,11,,1 day,Recharge of Rs. 11 by Vodafone,45 MB Data @4G/3G speed. Post 45 MB you will be charged 4p/10kb
16718,21,,1 hour,Recharge of Rs. 21 by Vodafone,Unlimited 4G/3G data -- 
16719,27,,3 days,Recharge of Rs. 27 by Vodafone,100 MB Data @4G/3G speed. Post 100 MB you will be charged 4p/10kb
16720,31,,28 days,Recharge of Rs. 31 by Vodafone,"75 MB Data @4G/3G speed. Post 75 MB, 4p/10kb will be charged -- This is Non-Additive pack"
16721,33,,1 Night,Recharge of Rs. 33 by Vodafone,Unlimited 3G/4G Night data (1am to 6am)
16722,48,,1 day,Recharge of Rs. 48 by Vodafone,1 GB Data @4G/3G speed for 1 Day. Post 1GB you will be charged 4p/10kb
16723,65,,7 days,Recharge of Rs. 65 by Vodafone,260 MB Data @4G/3G speed. Post 260 MB you will be charged 4p/10kb
16724,95,,10 days,Recharge of Rs. 95 by Vodafone,380 MB Data @4G/3G speed. Post 380 MB you will be charged 4p/10kb
16725,96,,5 days,Recharge of Rs. 96 by Vodafone,1 GB Data @4G/3G speed for 5 Days. Post 1GB you will be charged 4p/10kb
16726,128,,7 days,Recharge of Rs. 128 by Vodafone,1 GB @4G/3G speed. Post 1GB you will be charged 4p/10kb
16727,175,,28 days,Recharge of Rs. 175 by Vodafone,1 GB Data @4G/3G speed. Post 1 GB you will be charged 4p/10kb
16728,189,,28 days,Recharge of Rs. 189 by Vodafone,400MB @3G/4G speed for Day + 400MB for night. Post free quota you will be charged 4p/10kb
16729,255,,28 days,Recharge of Rs. 255 by Vodafone,2 GB Data @4G/3G speed. Post 2GB you will be charged 4p/10kb
16730,259,,28 days,Recharge of Rs. 259 by Vodafone,2 GB @3G/4G speed. Post 2GB you will be charged 4p/10kb
16731,297,,28 days,Recharge of Rs. 297 by Vodafone,1.75GB @4G/3G speed. Post 1.75GB you will be charged 4p/10kb
16732,299,,28 days,Recharge of Rs. 299 by Vodafone,1GB @3G/4G speed for Day and 1GB for night. Post free quota you will be charged 4p/10kb
16733,347,,28 days,Recharge of Rs. 347 by Vodafone,1GB @3G/4G speed for Day & 2GB for night. Post free quota you will be charged 4p/10kb
16734,348,,28 days,Recharge of Rs. 348 by Vodafone,1 GB/Day 4G/3G Data -- Unlimited ALL Mobile & Landline Calls. Limited Period Offer for ALL Handsets 
16735,365,,28 days,Recharge of Rs. 365 by Vodafone,3 GB @3G/4G speed. Post 3 GB you will be charged 4p/10kb
16736,397,,28 days,Recharge of Rs. 397 by Vodafone,1 GB Data @3G/4G speed for Day + 3GB for Night. Post free quota you will be charged 4p/10kb
16737,447,,28 days,Recharge of Rs. 447 by Vodafone,2 GB Data @3G/4G speed for Day & 2GB for night. Post free quota you will be charged 4p/10kb
16738,459,,28 days,Recharge of Rs. 459 by Vodafone,4 GB @4G/3G speed. Post 4 GB you will be charged 4p/10kb
16739,497,,28 days,Recharge of Rs. 497 by Vodafone,4 GB Data @4G/3G speed. Post 4 GB you will be charged 4p/10kb
16740,559,,28 days,Recharge of Rs. 559 by Vodafone,5 GB @4G/3G speed. Post 5 GB you will be charged 4p/10kb
16741,597,,28 days,Recharge of Rs. 597 by Vodafone,3 GB Data@3G/4G speed for Day & 3GB for night. Post free quota you will be charged 4p/10kb
16742,655,,28 days,Recharge of Rs. 655 by Vodafone,3GB @4G/3G speed. Post 3GB your speed will be reduced up to 64 kbps.
16743,659,,28 days,Recharge of Rs. 659 by Vodafone,6.5 GB @4G/3G speed. Post 6.5 GB you will be charged 4p/10kb
16744,697,,28 days,Recharge of Rs. 697 by Vodafone,3.5GB @4G/3G speed. Post 3.5GB your speed will be reduced up to 64 kbps.
16745,747,,28 days,Recharge of Rs. 747 by Vodafone,4GB @3G/4G speed for Day & 4GB for night. Post free quota you will be charged 4p/10kb
16746,855,,28 days,Recharge of Rs. 855 by Vodafone,5GB @4G/3G speed. Post 5GB your speed will be reduced up to 64 kbps.
16747,859,,28 days,Recharge of Rs. 859 by Vodafone,8.5 GB @4G/3G speed. Post 8.5 GB you will be charged 4p/10kb
16748,897,,28 days,Recharge of Rs. 897 by Vodafone,5GB @3G/4G speed for Day & 5GB for night. Post free quota you will be charged 4p/10kb
16749,955,,28 days,Recharge of Rs. 955 by Vodafone,6GB @4G/3G speed. Post 6GB you will be charged 4p/10kb
16750,999,,28 days,Recharge of Rs. 999 by Vodafone,11 GB @4G/3G speed. Post 11 GB you will be charged 4p/10kb. TnC apply
16751,1097,,28 days,Recharge of Rs. 1097 by Vodafone,7.5 GB Data @4G/3G speed. Post 7.5GB your speed will be reduced up to 64 kbps.
16752,1197,,28 days,Recharge of Rs. 1197 by Vodafone,7 GB Data @3G/4G speed for Day & 7GB for night. Post free quota you will be charged 4p/10kb
16753,1255,,28 days,Recharge of Rs. 1255 by Vodafone,9 GB Data @4G/3G speed. Post 9GB your speed will be reduced up to 64 kbps.
16754,1497,,28 days,Recharge of Rs. 1497 by Vodafone,10 GB Data @3G/4G speed for Day & 10GB for night. Post free quota you will be charged 4p/10kb
16755,1499,,28 days,Recharge of Rs. 1499 by Vodafone,16 GB @4G/3G speed. Post 16 GB you will be charged 4p/10kb
16756,1547,,28 days,Recharge of Rs. 1547 by Vodafone,12 GB Data @4G/3G speed. Post 12GB your speed will be reduced up to 64 kbps.
16757,1847,,28 days,Recharge of Rs. 1847 by Vodafone,15 GB Data @4G/3G speed. Post 15GB your speed will be reduced up to 64 kbps.
16758,1999,,28 days,Recharge of Rs. 1999 by Vodafone,22 GB at 4G/3G speed. Additionaly Free 1GB Wi-Fi for all customers. Post free quota you will be charged 4p/10kb
16759,2497,,28 days,Recharge of Rs. 2497 by Vodafone,20 GB Data @4G/3G speed. Post 20GB your speed will be reduced up to 64 kbps.
16760,2997,,28 days,Recharge of Rs. 2997 by Vodafone,20 GB Data @3G/4G speed for Day & 20GB for night. Post free quota you will be charged 4p/10kb
16761,18,,1 day,Recharge of Rs. 18 by Vodafone,Unlimited local + std V2V calls -- 100MB 3G/4G Data (4G Handset) 50MB for Other Handset -- 
16762,52,,7 days,Recharge of Rs. 52 by Vodafone,Unlimited local + std V2V calls -- 250MB 3G/4G Data (4G Handset) 50MB for Other Handset for 7 days -- 
16763,87,,7 days,Recharge of Rs. 87 by Vodafone,Unlimited local + std V2V + 100 Min V2O local +std calls -- 250MB 3G/4G Data (4G Handset) 50MB for Other Handset for 7 days -- 
