id,cost,talktime,validity,short description,long description
2192,57,,7 days,Recharge of Rs. 57 by Airtel,230 MB 3G/4G Data
2194,96,,5 days,Recharge of Rs. 96 by Airtel,1 GB 3G/4G Data
2204,299,,28 days,Recharge of Rs. 299 by Airtel,1.25 GB to 10 GB 3G/4G Data
2205,347,,28 days,Recharge of Rs. 347 by Airtel,Unlimited all Local+STD calls -- 1 GB/day 3G/4G data -- T&C apply.
2207,349,,28 days,Recharge of Rs. 349 by Airtel,Unlimited Local +STD Airtel to Airtel mobile calls -- 1 GB 3G/4G Data
2208,399,,28 days,Recharge of Rs. 399 by Airtel,"Local + STD Unlimited all Calls -- 28 GB Data 4G Handset(1GB/Daily), Other Handsets 1.25 GB 3G/4G Data -- T&C Apply! offer only for non-commercial use"
2210,499,,28 days,Recharge of Rs. 499 by Airtel,"Local + STD Unlimited all Calls -- 42 GB Data 4G Handset(1.5GB/Daily), Other Handsets 2 GB 3G/4G Data, T&C Apply! offer only for non-commercial use"
2212,547,,28 days,Recharge of Rs. 547 by Airtel,Unlimited all Local + STD calls -- 2 GB/day 3G/4G data -- T&C apply.
2213,648,,28 days,Recharge of Rs. 648 by Airtel,"Local + STD Unlimited all Calls -- 70GB Data 4G Handset(2.5GB/Daily), Other Handsets 3.5 GB 3G/4G Data, T&C Apply! offer only for non-commercial use"
2214,797,,28 days,Recharge of Rs. 797 by Airtel,Unlimited all Local + STD calls -- 3 GB/day 3G/4G data -- T&C apply.
2215,899,,28 days,Recharge of Rs. 899 by Airtel,"Local + STD Unlimited all Calls -- 98 GB Data 4G Handset(3.5GB/Daily), Other Handsets 6 GB 3G/4G Data, T&C Apply! offer only for non-commercial use"
2216,992,,365 days,Recharge of Rs. 992 by Airtel,10 GB 3G/4G Data
2217,999,,28 days,Recharge of Rs. 999 by Airtel,Unlimited all Local + STD calls -- 4 GB/day 3G/4G data -- T&C apply.
2218,1198,,28 days,Recharge of Rs. 1198 by Airtel,"Local + STD Unlimited all Calls -- 140 GB Data 4G Handset(5GB/Daily), Other Handsets 9 GB 3G/4G Data, T&C Apply! Offer valid for non-commercial use"
2222,501,,28 days,Recharge of Rs. 501 by Airtel,Unlimited ALL Local & STD FREE calling -- 1 GB 3G/4G Data
