id,cost,talktime,validity,comments
2153,10,7.47,N.A,Talktime of Rs. 7.47 for Rs. 10 recharge by Airtel
2154,20,14.95,N.A,Talktime of Rs. 14.95 for Rs. 20 recharge by Airtel
2156,30,22.42,N.A,Talktime of Rs. 22.42 for Rs. 30 recharge by Airtel
2157,40,30.9,N.A,Talktime of Rs. 30.9 for Rs. 40 recharge by Airtel
2158,50,39.37,N.A,Talktime of Rs. 39.37 for Rs. 50 recharge by Airtel
2159,60,47.85,N.A,Talktime of Rs. 47.85 for Rs. 60 recharge by Airtel
2160,70,56.32,N.A,Talktime of Rs. 56.32 for Rs. 70 recharge by Airtel
2161,80,64.8,N.A,Talktime of Rs. 64.8 for Rs. 80 recharge by Airtel
2162,100,90,N.A,Talktime of Rs. 90 for Rs. 100 recharge by Airtel
2163,110,100,N.A,Talktime of Rs. 100 for Rs. 110 recharge by Airtel
2164,130,110.17,N.A,Talktime of Rs. 110.17 for Rs. 130 recharge by Airtel
