id,cost,talktime,validity,comments
9882,11,,1 day,45 MB 3G/4G Data -- Overage: 4p/10KB -- 
9883,29,,28 days,250 MB 3G/4G Data -- Overage: 4p/10KB -- 
9884,32,,3 days,125 MB 3G/4G Data -- Overage: 4p/10kb -- 
9885,45,,5 days,175 MB 3G/4G Data -- Overage: 4p/10kb -- 
9886,51,,28 days,1 GB 3G/4G data -- Overage: 4p/10KB -- Available only after Long Term Plan Recharge of MRP 1498
9887,52,,2 days,1 GB 3G/4G Data -- Overage: 4p/10kb -- 
9888,54,,28 days,500 MB 3G/4G Data -- Overage: 4P/10KB -- 
9889,62,,15 days,250 MB 3G/4G data Upto 5 GB data subject to time of recharge by customer -- Overage: 4P/10KB  -- 
9890,67,,7 days,275 MB 3G/4G Data -- Overage: 4p/10kb  -- 
9891,79,,9 days,325 MB 3G/4G Data -- Overage: 4p/10kb -- 
9892,99,,28 days,2 GB 3G/4G data -- Overage: 4p/10KB  -- Available only after Long Term Plan recharge of MRP 1498.
9893,99,,28 days,1 GB 3G/4G data -- Overage: 4p/10KB -- Available only after Long Term Plan recharge of MRP 748
9894,99,,28 days,1 GB 3G/4G Data -- Overage: 4P/10KB
9896,103,,5 days,1 GB 3G/4G Data -- Overage: 4p/10kb  -- 
9897,121,,28 days,1 GB 3G/4G data -- Overage: 4p/10KB -- Available after Long Term Plan recharge of MRP 496
9898,171,,18 days,500 MB 3G/4G Data -- Overage: 4p/10kb  -- 
9899,194,,28 days,600 MB 3G/4G -- Overage: 4p/10kb -- 
9900,244,,28 days,"Unlimited I2I Mob -- Commercial activity will mean customers using the said product for calling 100 unique callers in a week or more than 300 mins in a day or 1200 mins in a week. For any customer found violating any of these conditions, tariff @ Rs 0.30/min will be applicable -- 0.5 GB 4G/3G Get 5% of MRP as TT on recharges through My Idea App and Idea Website -- This STV should not be used for any commercial activity."
9901,245,,28 days,Unlimited 1 GB 3G/4G -- FUP limit: Speed Post 1GB @40kbps
9902,247,,28 days,"Free Local calls -- Commercial activity will mean customers using the said product for calling 100 unique callers in a week or more than 300 mins in a day or 1200 mins in a week. For any customer found violating any of these conditions, tariff @ Rs 0.30/min will be applicable. -- 50 MB 3G data (4G handset users will get 1024 MB data) -- Get 5% of MRP as TT on recharges through My Idea App and Idea Website"
9903,248,,28 days,1.5 GB 3G/4G Data -- Overage: 4p/10kb
9904,259,,28 days,2.5 GB 3G/4G data -- Overage: 4p/10KB -- Available after Long term plan recharge of MRP 748
9905,259,,28 days,5 GB 3G/4G data -- Overage: 4p/10KB -- Available after Long Term plan recharge of MRP 1498
9908,348,,28 days,2.5 GB 3G/4G Data -- Overage: 4p/10kb
9909,448,,28 days,3.5 GB 3G/4G Data -- Overage: 4p/10kb
9910,496,,6 months,Instant 4 GB 3G/4G data (28 Days) -- For next 6 months get 1 GB 3G data with 28 days validity @ just Rs 121 -- Overage: 4p/10KB
9911,497,,28 days,10 GB 3G/4G Data (Applicable only for 4G Handsets) -- Overage: 4p/10KB
9912,548,,28 days,4.5 GB 3G/4G Data -- Overage: 4p/10kb
9913,645,,28 days,Unlimited 3 GB 3G/4G Data -- FUP limit: Speed Post 3GB @40kbps
9914,648,,28 days,5.5 GB 3G/4G Data -- Overage: 4p/10kb
9915,745,,28 days,Unlimited 4 GB 3G/4G Data -- FUP limit: Speed Post 4GB @40kbps
9916,748,,6 months,"Instant 7 GB 3G/4G data (28 Days) -- For next 6 months get 1GB 3G data valid for 28 days @ Just Rs 99, 2.5GB 3G valid for 28 Days@ Just Rs259 -- Overage: 4p/10KB"
9917,798,,28 days,"Unlimited I2I Mob -- 3000 Loc/ STD Mins -- 3 GB 4G/3G Data -- Commercial activity will mean customers using the said product for calling 100 unique callers in a week or more than 300 mins in a day or 1200 mins in a week. For any customer found violating any of these conditions, tariff @ Rs 0.30/min will be applicable  -- Get 5% of MRP as TT on recharges through My Idea App and Idea Website -- This STV should not be used for any commercial activity."
9920,997,,365 days,10 GB 3G/4G Data -- Overage: 4P/10KB
9921,998,,28 days,"Unlimited I2I Mobile -- 3000 Loc/ STD Mins -- 5 GB 4G/3G Data -- Commercial activity will mean customers using the said product for calling 100 unique callers in a week or more than 300 mins in a day or 1200 mins in a week. For any customer found violating any of these conditions, tariff @ Rs 0.30/min will be applicable -- Get 5% of MRP as TT on recharges through My Idea App and Idea Website -- This STV should not be used for any commercial activity. "
9922,1498,,12 months,"Instant 15 GB 3G/4G data (28 Days) -- For next 12 Months get 1GB 3G data benefit valid for 28 days @ Just Rs 51, 2 GB 3G data valid for 28 Days@ just Rs99, 5 GB 3G data benefit valid for 28 Days@ just Rs 259 -- Overage: 4p/10KB"
9923,1849,,28 days,Unlimited 15 GB 3G/4G Data -- FUP limit: Speed Post 15GB @40kbps
9924,1999,,90 days,10 GB 3G/4G Data -- Overage: 4p/10kb
