id,cost,talktime,validity,short description,long description
9769,10,7.47,N.A,Recharge of Rs. 10 by Idea,Talktime of Rs. 7.47 for Rs. 10 recharge by Idea
9770,20,14.95,N.A,Recharge of Rs. 20 by Idea,Talktime of Rs. 14.95 for Rs. 20 recharge by Idea
9772,30,22.42,N.A,Recharge of Rs. 30 by Idea,Talktime of Rs. 22.42 for Rs. 30 recharge by Idea
9773,40,30.9,N.A,Recharge of Rs. 40 by Idea,Talktime of Rs. 30.9 for Rs. 40 recharge by Idea
9776,50,39.37,N.A,Recharge of Rs. 50 by Idea,Talktime of Rs. 39.37 for Rs. 50 recharge by Idea
9778,60,47.85,N.A,Recharge of Rs. 60 by Idea,Talktime of Rs. 47.85 for Rs. 60 recharge by Idea
9780,70,56.32,N.A,Recharge of Rs. 70 by Idea,Talktime of Rs. 56.32 for Rs. 70 recharge by Idea
9783,80,64.8,N.A,Recharge of Rs. 80 by Idea,Talktime of Rs. 64.8 for Rs. 80 recharge by Idea
9784,90,73.27,N.A,Recharge of Rs. 90 by Idea,Talktime of Rs. 73.27 for Rs. 90 recharge by Idea
9787,100,81.75,N.A,Recharge of Rs. 100 by Idea,Talktime of Rs. 81.75 for Rs. 100 recharge by Idea
9788,110,90,N.A,Recharge of Rs. 110 by Idea,Magic Recharge. Customer gets surprise talktime between Rs.90 to Rs.140
9789,120,98.69,N.A,Recharge of Rs. 120 by Idea,Talktime of Rs. 98.69 for Rs. 120 recharge by Idea
9790,130,107.17,N.A,Recharge of Rs. 130 by Idea,Talktime of Rs. 107.17 for Rs. 130 recharge by Idea
9791,140,115.64,N.A,Recharge of Rs. 140 by Idea,Talktime of Rs. 115.64 for Rs. 140 recharge by Idea
9793,160,132.59,N.A,Recharge of Rs. 160 by Idea,Talktime of Rs. 132.59 for Rs. 160 recharge by Idea
9795,170,141.07,N.A,Recharge of Rs. 170 by Idea,Talktime of Rs. 141.07 for Rs. 170 recharge by Idea
9796,180,149.54,N.A,Recharge of Rs. 180 by Idea,Talktime of Rs. 149.54 for Rs. 180 recharge by Idea
9797,190,158.02,N.A,Recharge of Rs. 190 by Idea,Talktime of Rs. 158.02 for Rs. 190 recharge by Idea
9799,210,174.97,N.A,Recharge of Rs. 210 by Idea,Talktime of Rs. 174.97 for Rs. 210 recharge by Idea
9800,220,183.44,N.A,Recharge of Rs. 220 by Idea,Talktime of Rs. 183.44 for Rs. 220 recharge by Idea
9801,230,191.92,N.A,Recharge of Rs. 230 by Idea,Talktime of Rs. 191.92 for Rs. 230 recharge by Idea
9802,240,200.39,N.A,Recharge of Rs. 240 by Idea,Talktime of Rs. 200.39 for Rs. 240 recharge by Idea
