id,cost,talktime,validity,comments
12972,14,,2 days,60 MB Data
12973,18,,3 days,100 MB Data
12974,24,,1 day,1 GB 2G Data (Same day)
12976,34,,5 days,180 MB Data
12977,43,,7 days,250 MB Data
12978,57,,7 days,300 MB Data
12979,61,,28 days,180 MB Data
12980,64,,10 days,350 MB Data
12981,77,,7 days,400 MB Data
12982,88,,12 days,500 MB Data
12983,91,,28 days,300 MB Data
12984,93,,7 days,500 MB Data
12985,99,,14 days,550 MB Data
12986,112,,14 days,500 MB Data
12987,147,,28 days,1 GB/ Day 2G Data
12988,151,,21 days,600 MB Data
12991,185,,28 days,1.25 GB
12994,223,,28 days,4 GB 2G Data. Unused data quota will be forfeited.
12995,242,,28 days,5 GB 2G Data. Unused data quota will be forfeited.
12999,365,,368 days,1GB 2G Data Per Day
13000,398,,28 days,5 GB
13001,489,,28 days,7 GB 2G Data. Unused data quota will be forfeited.
13005,599,,28 days,10 GB 2G Data. Unused data quota will be forfeited.
13006,786,,180 days,Get 1GB/ DAY 2G Data for 180 days
