id,cost,talktime,validity,short description,long description
12956,10,7.47,N.A,Recharge of Rs. 10 by RelianceGSM,Talktime of Rs. 7.47 for Rs. 10 recharge by Reliance GSM
12957,20,14.95,N.A,Recharge of Rs. 20 by RelianceGSM,Talktime of Rs. 14.95 for Rs. 20 recharge by Reliance GSM
12958,30,22.42,N.A,Recharge of Rs. 30 by RelianceGSM,Talktime of Rs. 22.42 for Rs. 30 recharge by Reliance GSM
12959,50,39.37,N.A,Recharge of Rs. 50 by RelianceGSM,Talktime of Rs. 39.37 for Rs. 50 recharge by Reliance GSM
12960,60,47.85,N.A,Recharge of Rs. 60 by RelianceGSM,Talktime of Rs. 47.85 for Rs. 60 recharge by Reliance GSM
12961,70,56.32,N.A,Recharge of Rs. 70 by RelianceGSM,Talktime of Rs. 56.32 for Rs. 70 recharge by Reliance GSM
12962,100,81.75,N.A,Recharge of Rs. 100 by RelianceGSM,Talktime of Rs. 81.75 for Rs. 100 recharge by Reliance GSM
12963,120,98.69,N.A,Recharge of Rs. 120 by RelianceGSM,Talktime of Rs. 98.69 for Rs. 120 recharge by Reliance GSM
12964,150,124.12,N.A,Recharge of Rs. 150 by RelianceGSM,Talktime of Rs. 124.12 for Rs. 150 recharge by Reliance GSM
12966,220,183.44,N.A,Recharge of Rs. 220 by RelianceGSM,Talktime of Rs. 183.44 for Rs. 220 recharge by Reliance GSM
12967,310,259.71,N.A,Recharge of Rs. 310 by RelianceGSM,Talktime of Rs. 259.71 for Rs. 310 recharge by Reliance GSM
12968,400,335.98,N.A,Recharge of Rs. 400 by RelianceGSM,Talktime of Rs. 335.98 for Rs. 400 recharge by Reliance GSM
12969,510,429.2,N.A,Recharge of Rs. 510 by RelianceGSM,Talktime of Rs. 429.2 for Rs. 510 recharge by Reliance GSM
12970,1000,844.46,N.A,Recharge of Rs. 1000 by RelianceGSM,Talktime of Rs. 844.46 for Rs. 1000 recharge by Reliance GSM
