id,cost,talktime,validity,short description,long description
7816,7,,2 days,Recharge of Rs. 7 by Docomo,Local On-Net mobile calls @ 0p/ sec -- 
7817,23,,14 days,Recharge of Rs. 23 by Docomo,Local On-Net 600 mins 
7818,24,,28 days,Recharge of Rs. 24 by Docomo,All local calls at 30p/min
7819,35,,28 days,Recharge of Rs. 35 by Docomo,Local + STD mobile calls @ 1p/ 2secs. TnC apply 
7820,37,,28 days,Recharge of Rs. 37 by Docomo,Local/ STD mobile calls @ 25p/ min. (on minute pulse) 
7821,38,,45 days,Recharge of Rs. 38 by Docomo,Local/STD Mobile calls @30p/ min (on minute pulse) 
7822,44,,56 days,Recharge of Rs. 44 by Docomo,All local calls @30p/min
7823,45,,28 days,Recharge of Rs. 45 by Docomo,Local/STD Mobile calls @ 20p/Sec (on minute pulse)
7824,46,,10 days,Recharge of Rs. 46 by Docomo,Local On-Net mobile calls @ 0p/ sec.
7825,47,,14 days,Recharge of Rs. 47 by Docomo,"7,200 Local mobile secs. (120 mins.)"
7826,53,,28 days,Recharge of Rs. 53 by Docomo,"Local/STD Mobile calls @ 30p/ min (On Second Pulse. In every min., 1st 30 secs. @ 1p/ sec. & next 30 secs. @ 0p/ sec.)"
7827,66,,84 days,Recharge of Rs. 66 by Docomo,Local/STD Mobile calls @30p/ min (on minute pulse)
7828,67,,14 days,Recharge of Rs. 67 by Docomo,12000 Local and STD mins. (200 mins) 
7829,68,,30 days,Recharge of Rs. 68 by Docomo,23400 Local On-Net Sec + 5700 Local Mobile Seconds
7830,81,,90 days,Recharge of Rs. 81 by Docomo,Local + STD mobile calls @ 25p/ min
7831,85,,21 days,Recharge of Rs. 85 by Docomo,4500 Local On-Net Sec + 9900 Local Mobile Seconds 
7832,93,,28 days,Recharge of Rs. 93 by Docomo,14700 Local Seconds
7833,97,,28 days,Recharge of Rs. 97 by Docomo,Local onnet 250min and local Offnet 250 mins
7834,103,,28 days,Recharge of Rs. 103 by Docomo,"L/S Tata Calls free, UL Calls Capped at Commercial usage policy of 3000min post which T2T calls at 10p/min -- Local On-Net mobile calls @ Unlimited -- STD On-Net mobile calls @ Unlimited"
7835,108,,28 days,Recharge of Rs. 108 by Docomo,Local On-Net mobile calls free 
7836,128,,28 days,Recharge of Rs. 128 by Docomo,Local + STD 375 mins
7837,198,,28 days,Recharge of Rs. 198 by Docomo,120000 Local On-Net Sec + 42000 Local Mobile Seconds
