id,cost,talktime,validity,short description,long description
15122,10,7.7,N.A,Recharge of Rs. 10 by Indicom,Talktime of Rs. 7.7 for Rs. 10 recharge by Tata Indicom
15123,20,15.39,N.A,Recharge of Rs. 20 by Indicom,Talktime of Rs. 15.39 for Rs. 20 recharge by Tata Indicom
15124,30,23.09,N.A,Recharge of Rs. 30 by Indicom,Talktime of Rs. 23.09 for Rs. 30 recharge by Tata Indicom
15125,80,66.56,N.A,Recharge of Rs. 80 by Indicom,Talktime of Rs. 66.56 for Rs. 80 recharge by Tata Indicom
15126,100,83.97,N.A,Recharge of Rs. 100 by Indicom,Talktime of Rs. 83.97 for Rs. 100 recharge by Tata Indicom
15127,190,162.21,N.A,Recharge of Rs. 190 by Indicom,Talktime of Rs. 162.21 for Rs. 190 recharge by Tata Indicom
15128,210,179.61,N.A,Recharge of Rs. 210 by Indicom,Talktime of Rs. 179.61 for Rs. 210 recharge by Tata Indicom
15129,230,197,N.A,Recharge of Rs. 230 by Indicom,Talktime of Rs. 197 for Rs. 230 recharge by Tata Indicom
15130,250,214.39,N.A,Recharge of Rs. 250 by Indicom,Talktime of Rs. 214.39 for Rs. 250 recharge by Tata Indicom
15131,350,301.35,N.A,Recharge of Rs. 350 by Indicom,Talktime of Rs. 301.35 for Rs. 350 recharge by Tata Indicom
15132,400,344.82,N.A,Recharge of Rs. 400 by Indicom,Talktime of Rs. 344.82 for Rs. 400 recharge by Tata Indicom
15133,450,388.3,N.A,Recharge of Rs. 450 by Indicom,Talktime of Rs. 388.3 for Rs. 450 recharge by Tata Indicom
15134,600,518.74,N.A,Recharge of Rs. 600 by Indicom,Talktime of Rs. 518.74 for Rs. 600 recharge by Tata Indicom
15135,700,605.7,N.A,Recharge of Rs. 700 by Indicom,Talktime of Rs. 605.7 for Rs. 700 recharge by Tata Indicom
15136,800,692.65,N.A,Recharge of Rs. 800 by Indicom,Talktime of Rs. 692.65 for Rs. 800 recharge by Tata Indicom
15137,1000,866.56,N.A,Recharge of Rs. 1000 by Indicom,Talktime of Rs. 866.56 for Rs. 1000 recharge by Tata Indicom
