id,cost,talktime,validity,short description,long description
16840,5,,1 day,Recharge of Rs. 5 by Vodafone,20 MB 2G Data
16841,19,,3 days,Recharge of Rs. 19 by Vodafone,100 MB 2G Data
16842,37,,4 days,Recharge of Rs. 37 by Vodafone,200 MB 2G Data
16843,48,,28 days,Recharge of Rs. 48 by Vodafone,160 MB 2G Data
16844,95,,12 days,Recharge of Rs. 95 by Vodafone,500 MB 2G Data 
16845,105,,28 days,Recharge of Rs. 105 by Vodafone,350 MB 2G Data
16846,125,,15 days,Recharge of Rs. 125 by Vodafone,725 MB 2G Data
16847,179,,28 days,Recharge of Rs. 179 by Vodafone,1 GB 2G
16848,198,,28 days,Recharge of Rs. 198 by Vodafone,Get assured benefit of 1.25GB and upto 3GB 2G Data
16849,199,,28 days,Recharge of Rs. 199 by Vodafone,1.25 GB 2G Unlimited Data (Post 1.25 GB speed @ 40 kbps)
16850,218,,28 days,Recharge of Rs. 218 by Vodafone,"1GB + 1GB Night data , Night data applicable 12 am to 6 am "
16851,248,,28 days,Recharge of Rs. 248 by Vodafone,2 GB 2G Unlimited Data (Post 2 GB speed @ 40 kbps)
16852,298,,28 days,Recharge of Rs. 298 by Vodafone,3 GB 2G Unlimited Data for 28 days(Post 3 GB speed @ 40 kbps)
16853,318,,28 days,Recharge of Rs. 318 by Vodafone,"2 GB + 2 GB Night Data, Night data applicable 12 am to 6 am "
