id,cost,talktime,validity,comments
16902,27,,28 days,"US/Canada @2 p/secPak @10p/secNepal @11 p/secThailand,Bangladesh/Malaysia @5pAus @12p/secPhilippines @16 p/secFrance/Spain @13 p/secBahrain,Belgium,Italy,Kenya,Kuwait,NewZealand,Saudi Arabia @14 p/secQatar @19 p/secGermany,Switzerland,Turkey,UAE @15 p/secChina/HK @3 p/secSingapore@6 p/sec"
16903,69,,28 days,"US,Canada,UK(F)@1.49p/sec(till 27000sec)"
16904,575,,1 day,"UNLIMITED FREE data & calls while travelling in US, UAE and Singapore! In 37 other countries -- Enjoy FREE incoming calls, outgoing calls @Rs1/min -- Data @Rs1/MB -- Outgoing SMS @ Rs.15/sms in all countries -- Applicable on select networks."
16905,673,,10 days,"Incoming calls @ Rs 39/min -- Data @ Rs 39/MB -- Outgoing within visited country @ Rs 19.5/min -- Outgoing outside the visited country @ Rs 39/min -- SMS @ Rs 15/sms -- Applicable across popular destinations like Singapore, Thailand, Malaysia, USA, UK and UAE and more countries on select network operators only."
16906,1151,,2 days,"UNLIMITED FREE data & calls while travelling in US, UAE and Singapore! In 37 other countries -- Enjoy FREE incoming calls -- outgoing calls @Rs1/min -- Data @Rs1/MB -- Outgoing SMS @ Rs.15/sms in all countries -- Applicable on select networks"
16907,1684,,30 days,Free 30 Incoming minutes In International Roaming post which Incoming calls@39 Rs/min -- Data @ Rs 39/MB -- Outgoing within visited country @ Rs 19.5/min -- Outgoing outside the visited country @ Rs 39/min -- SMS @ Rs 15/SMS.
16908,1725,,3 days,"UNLIMITED FREE data & calls while travelling in US, UAE and Singapore! In 37 other countries -- Enjoy FREE incoming calls, outgoing calls @Rs1/min -- Data @Rs1/MB -- Outgoing SMS @Rs.15/sms in all countries -- Applicable on select networks."
16909,2301,,4 days,"UNLIMITED FREE data & calls while travelling in US, UAE and Singapore! In 37 other countries -- Enjoy FREE incoming calls, outgoing calls @Rs1/min -- Data @Rs1/MB -- Outgoing SMS @Rs.15/sms in all countries -- Applicable on select networks."
16910,2875,,7 days,"UNLIMITED FREE data & calls while travelling in US, UAE and Singapore -- In 37 other countries, enjoy FREE incoming calls, outgoing calls @Rs1/min -- Data @Rs1/MB -- Outgoing SMS @Rs.15/sms in all countries -- Applicable on select networks."
16911,4025,,10 days,"UNLIMITED FREE data & calls while travelling in US, UAE and Singapore -- In 37 other countries, enjoy FREE incoming calls, outgoing calls @Rs1/min -- Data at Rs1/MB -- Outgoing SMS @Rs.15/sms in all countries -- Applicable on select networks."
16912,5751,,30 days,"UNLIMITED FREE data & calls while travelling in US, UAE and Singapore -- In 37 other countries, enjoy FREE incoming calls, outgoing calls @Rs1/min -- Data @Rs1/MB -- Outgoing SMS @Rs.15/sms in all countries -- Applicable on select networks."
