id,cost,talktime,validity,short description,long description
5472,13,15,2 days,Recharge of Rs. 13 by BSNL,10MB 2G/3G Data
5473,20,20,N.A,Recharge of Rs. 20 by BSNL,Full Talk value offer equal to Rs.20 from 15 to 20 Aug 2017. Other days talktime 14.95
5474,40,40,N.A,Recharge of Rs. 40 by BSNL,Full Talk value offer equal to Rs.40 from 15 to 20 Aug 2017. Other days talktime 30.9
5475,60,60,N.A,Recharge of Rs. 60 by BSNL,Full Talk value offer equal to Rs.60 from 15 to 20 Aug 2017. Other days talktime 47.85
5476,76,80,10 days,Recharge of Rs. 76 by BSNL,30MB 2G/3G Data
5477,80,80,N.A,Recharge of Rs. 80 by BSNL,Full Talk value offer equal to Rs.80 from 15 to 20 Aug 2017. Other days talktime 64.8
5478,120,130,N.A,Recharge of Rs. 120 by BSNL,Talk value offer equal to Rs.130 from 15 to 20 Aug 2017. Other days talktime 98.69
5479,160,180,N.A,Recharge of Rs. 160 by BSNL,Talk value offer equal to Rs.180 from 15 to 20 Aug 2017. Other days talktime 132.59
5480,176,176,10 days,Recharge of Rs. 176 by BSNL,200 MB 2G/3G Data -- Available for Freedom plan customers only
5481,177,180,15 days,Recharge of Rs. 177 by BSNL,50MB 2G/3G Data
5482,189,220,14 days,Recharge of Rs. 189 by BSNL,Rs189 in main account + Rs31 in dedicated account -- 1 GB 2G/3G Data
5484,289,340,28 days,Recharge of Rs. 289 by BSNL,Rs289 in main account + Rs51 in dedicated account -- 1 GB 2G/3G data
5485,377,377,20 days,Recharge of Rs. 377 by BSNL,300 MB 2G/3G Data -- Available for Freedom plan customers only
5486,389,460,30 days,Recharge of Rs. 389 by BSNL,Rs389 in main account + Rs71 in dedicated account -- 1 GB 2G/3G data.
5487,577,577,30 days,Recharge of Rs. 577 by BSNL,1 GB 2G/3G Data  -- Available for Freedom plan customers only
5488,599,786,30 days,Recharge of Rs. 599 by BSNL,Talktime: Rs.507 in main account + Rs.279 in dedicated account (30 days) -- 10 on-net local SMS.
5490,1402,1402,30 days,Recharge of Rs. 1402 by BSNL,All national voice calls @0.9 paisa/sec -- 250 MB 2G/3G data -- 250 SMS any net
5493,59,33,2 days,Recharge of Rs. 59 by BSNL,500 MB 2G/3G Data and beyond freebies volume based data charges @ 5 paisa/MB from 0200 hours to 0600 hours
5495,111,90,20 days,Recharge of Rs. 111 by BSNL,70 Min Free On-net calls
5497,222,190,40 days,Recharge of Rs. 222 by BSNL,110 Min Free Local/STD call on BSNL Network
5498,258,220,30 days,Recharge of Rs. 258 by BSNL,110 free voice calls
5501,43,9,30 days,Recharge of Rs. 43 by BSNL,300 Minutes Local or STD Onnet Night
5502,47,20,21 days,Recharge of Rs. 47 by BSNL,Local OnNet at 20p/Min
5503,49,11,30 days,Recharge of Rs. 49 by BSNL,Local or STD Onnet Night at 0.05 per Min 
5504,82,20,30 days,Recharge of Rs. 82 by BSNL,800 minutes Local/STD onnet night 
5505,84,24,60 days,Recharge of Rs. 84 by BSNL,All STD voice calls at Rs0.35 per Minute
5506,146,25,30 days,Recharge of Rs. 146 by BSNL,1800 Min Local or STD Onnet Night 11PM to 6AM
5507,209,25,90 days,Recharge of Rs. 209 by BSNL,Local Call Anynet at 1 ps per 2 sec 
5514,125,,30 days,Recharge of Rs. 125 by BSNL,Free 177 minutes anynet (local/STD/On-net/Off-net) in Home LSA -- Free data 200MB available in Home LSA and while Roaming -- Free SMS100 (local/National/On-net/Off-net) available in Home LSA and while Roaming
5516,26,,26 hours,Recharge of Rs. 26 by BSNL,U/L voice (local/STD) (Onnet/offnet) in Home LSA + 1 onnet local SMS
