id,cost,talktime,validity,short description,long description
13043,16,17,1 day,Recharge of Rs. 16 by RelianceGSM,Promo TT Rs.17 for -- Free Local Reliance to Reliance calls (1 day)
13044,24,24,4 days,Recharge of Rs. 24 by RelianceGSM,Promo TT Rs.24 for 4 days -- 5 Local R2R night minute for 1 days (11pm-6am)
13045,55,55,5 days,Recharge of Rs. 55 by RelianceGSM,Promo TT Rs.55 & 100 MB 2G data -- 5 Local Reliance to Reliance night minute for 1 days (11 PM-6 AM)
13046,85,85,14 days,Recharge of Rs. 85 by RelianceGSM,Promo TT Rs.85 -- 5 Local R2R night minute for 1 days (11pm-6am)
13047,125,150,21 days,Recharge of Rs. 125 by RelianceGSM,Promo talktime 150 -- 5 local R2R night minute for 1 day (night min from 11-6am)
13048,145,165,30 days,Recharge of Rs. 145 by RelianceGSM,Promo Talktime 165 -- 5 local Reliance to Reliance night minutes for 1 day (Night minutes from 11 PM to 6 AM).
13050,197,250,30 days,Recharge of Rs. 197 by RelianceGSM,Promo Talktime 250 -- 5 local Reliance to Reliance night minutes for 1 day (Night minutes from 11 PM to 6 AM).
13051,215,215,N.A,Recharge of Rs. 215 by RelianceGSM,5 Local SMS (1 day)
13052,315,315,N.A,Recharge of Rs. 315 by RelianceGSM,5 Local SMS (1 day)
13053,444,444,N.A,Recharge of Rs. 444 by RelianceGSM,2 Local R2R Mins (2 days)
13058,37,29.46,N.A,Recharge of Rs. 37 by RelianceGSM,5 Local and National SMS Valid for 1 day (same day)
13060,53,40,35 days,Recharge of Rs. 53 by RelianceGSM,Promo Talktime of Rs 40 -- 25 Local R2R night minute (11pm-6am) for 1 day
13061,57,50,35 days,Recharge of Rs. 57 by RelianceGSM,Promo Talktime of Rs 50 --  25 Local R2R night minute (11pm-6am) for 1 day
13063,78,65.42,N.A,Recharge of Rs. 78 by RelianceGSM,5 Local and National SMS Valid for 1 day (same day)
13084,33,,2 day,Recharge of Rs. 33 by RelianceGSM,1 GB -- 1 Hour All Calls to any N/W
13101,152,,28 days,Recharge of Rs. 152 by RelianceGSM,Unltd Local & STD R-R Calls -- 3 GB 2G Data -- All R -Others calls @1p/sec -- Free Incoming Roaming
13102,153,,14 days,Recharge of Rs. 153 by RelianceGSM,1 GB 2G Data -- 60 mins calls to any network / Day
13104,193,,28 days,Recharge of Rs. 193 by RelianceGSM,30 Mins All Calls -- 1 GB/ Day Data 
13105,199,,28 days,Recharge of Rs. 199 by RelianceGSM,1 GB Data -- Unlimited Local and STD Reliance to Reliance calls + 1250 Local and STD minutes to other network -- Free Incoming roaming.Post 1250 Local & STD minutes all calls @20p/min
13111,299,,28 days,Recharge of Rs. 299 by RelianceGSM,2 GB Data -- Unlimited Local and STD Reliance to Reliance calls + 1900 Local and STD minutes to other network -- Free Incoming roaming.Post 1900 Local & STD minutes all calls @20p/min
13112,303,,28 days,Recharge of Rs. 303 by RelianceGSM,1 GB 2G Data -- 60 mins calls to any network/Day
13113,349,,28 days,Recharge of Rs. 349 by RelianceGSM,Unlimited Calls to any Network -- 1 GB/ Day Data -- FUP-150 Mins Per Day
13117,499,,28 days,Recharge of Rs. 499 by RelianceGSM,4 GB Data -- Unlimited Local and STD Reliance to Reliance calls + 3300 Local and STD minutes to other network -- Free Incoming roaming.Post 3300 Local & STD minutes all calls @20p/min
13118,501,,90 days,Recharge of Rs. 501 by RelianceGSM,1 GB Data -- Unlimited Local and STD Reliance to Reliance calls + 3300 Local and STD minutes to other network -- Free Incoming roaming.Post 3300 Local & STD minutes all calls @20p/min
13119,555,,90 days,Recharge of Rs. 555 by RelianceGSM,1GB 2G Data + 60 mins calls to any network / Day
