id,cost,talktime,validity,comments
7941,8,,1 day,Unlimited Local & STD Onnet Calls -- Local On-Net mobile calls @ Unlimited -- STD On-Net mobile calls @ Unlimited
7942,9,,1 day,Unlimited Local On-Net mobile calls
7943,14,,28 days,Local On-Net + STD On-Net mobile calls @ 15 p/min
7944,18,,28 days,Local On-Net Mobile Calls @ 10p/ min  -- Not applicable in Sirsa & Fatehabad.
7945,19,,3 days,40 Local + STD Mins 
7946,23,,28 days,All Local & STD calls @ 30p/ min
7947,24,,7 days,40 Local + STD Mins 
7948,25,,15 days,All Local & STD Mobile Calls @ 25p/ min
7949,31,,28 days,Local On-Net mobile calls @ 1.7p/ sec. -- Local Off-Net mobile calls @ 1.7p/ sec. -- STD On-Net mobile calls @ 30p/ min. -- STD Off-Net mobile calls @ 30p/ min.
7950,32,,28 days,All Local & STD mobile calls @ 35p/m
7951,35,,28 days,Local On-Net mobile calls @ 10p/ min. (min. pulse) -- Local Off-Net mobile calls @ 30p/ min. (min. pulse) -- Not applicable in Sirsa & Fatehabad.
7952,38,,56 days,Local On-Net mobile calls @ 30p/ min. -- Local Off-Net mobile calls @ 30p/ min. -- STD On-Net mobile calls @ 1.7p/sec. -- STD Off-Net mobile calls @ 1.7p/ sec.
7953,41,,28 days,Local On-Net mobile calls @ 20p/ min. (1st 20 sec. @ 1p/ sec. next 40 sec. @ 0p/ sec.) -- Local Off-Net mobile calls @ 40p/ min. (1st 40 sec. @ 1p/ sec. next 20 sec. @ 0p/ sec.) -- STD On-Net mobile calls @ 20p/ min. (1st 20 sec. @ 1p/ sec. next 40 sec. @ 0p/ sec.) -- STD Off-Net mobile calls @ 40p/ min. (1st 40 sec. @ 1p/ sec. next 20 sec. @ 0p/ sec.) -- Not applicable in Sirsa & Fatehabad.
7954,44,,7 days,Unlimited Local & STD Onnet Calls
7955,45,,28 days,All Local & STD Mobile Calls @ 25p/ min
7956,49,,10 days,140 Local + STD Mins
7957,53,,28 days,400 Local On-Net Mins  -- Not applicable in Sirsa & Fatehabad.
7958,55,,56 days,All Local & STD mobile calls @ 30p/min
7959,61,,56 days,Local/STD Mobile calls @ 36p/ min
7960,66,,28 days,"Local On-Net @ 10 p/min Local Off-Net, STD On-Net & Off-Net @ 30p/min -- Not applicable in Sirsa & Fatehabad."
7961,68,,14 days,240 Local & STD Minutes
7962,82,,28 days,650 Local On-Net call minutes -- Not applicable in Sirsa/ Fatehabad
7963,85,,28 days,"free Local On-Net mobile calls from 11pm to 5pm (15p/ min. from 5pm to 11pm.) -- Local Off-Net mobile calls @ 30p/min -- STD On-Net mobile calls @ 15p/m -- STD Off-Net mobile calls @ 30p/min -- Not applicable in Sirsa, Fatehabad & Panipat"
7964,94,,90 days,"Local On-Net mobile calls @ 10 p/min -- Local Off-Net mobile calls @ 30 p/min -- Not applicable in Sirsa, Fatehabad & other ICR locations."
7965,101,,21 days,350 Local + STD Mins
7966,103,,28 days,3000 Local & STD Onnet Mins
7967,108,,10 days,Unlimited Local On-Net mobile calls
7968,123,,28 days,Unlimited Local & STD Onnet Calls
7969,125,,28 days,300 Local Mins
7970,148,,14 days,"750 mins of usage for Local & STD calls, post 750 mins Local & STD calls @ 30p/m"
7971,158,,28 days,500 Local + STD Mins
7972,163,,28 days,Unlimited Local On-Net mobile calls from 11pm to 5pm Local (On-Net mobile calls @ 1.6p/ sec. from 5pm to 11pm) -- Local Off-Net mobile calls @ 1.6p/ sec -- STD On-Net mobile calls @ 1.6p/ sec -- STD Off-Net mobile calls @ 1.6p/ sec -- Not applicable in Sirsa/ Fatehabad & Panipat.
7973,195,,28 days,2200 Local On-Net Mins -- Not applicable in Sirsa/ Fatehabad & Panipat.
7974,196,,28 days,500 Local Mins 
7975,199,,28 days,650 Local + STD Mins
7976,246,,28 days,"1200 mins of usage for Local & STD calls, post 1200 mins Local & STD calls @ 30p/m"
7977,248,,28 days,Local On-Net mobile calls @ Unlimited -- STD On-Net mobile calls @ 10 p/m
7978,298,,28 days,"1500 mins of usage for Local & STD calls, post 1500 mins Local & STD calls @ 30p/m "
7979,666,,28 days,2500 Local minutes to any Network @ 0p/ sec. After 2500 mins. Local calls @ 1.5p/ sec.
