id,cost,talktime,validity,comments
461,9,,1 day,Unlimited Data (FUP after 50 MB/Day) -- 
462,14,,2 days,100 MB 2G Data -- 
463,26,,5 days,5 GB 2G Data (1 GB PER DAY)
464,32,,6 days,175 MB Data -- 
465,46,,10 days,275 MB 2G Data -- 
466,47,,28 days,170 MB 2G Data
467,49,,5 days,200 MB Data
468,53,,14 days,14 GB 2G Data (1 GB PER DAY)
469,65,,28 days,1 GB 2G Data
470,73,,21 days,21 GB 2G Data (1 GB PER DAY)
471,91,,21 days,1 GB Data
472,98,,28 days,28 GB 2G Data (1 GB PER DAY)
473,116,,28 days,2.5 GB 2G Data
474,128,,28 days,Unlimited Data
475,134,,45 days,45 GB 2G Data (1 GB PER DAY)
476,199,,90 days,90 GB 2G Data (1 GB PER DAY)
