id,cost,talktime,validity,comments
2513,5,,7 days,"Local A2A mobile calls @10p/m, Local other mobile calls @30p/m, STD mobile calls @30p/m. -- Applicable only for new subscribers as FRC/SRC"
2514,12,,84 days,Local A2A mobile calls @10p/m -- Applicable only for new subscribers as FRC/SRC
2515,14,,84 days,All Mobile Calls @ 25p/m -- Applicable only for new subscribers as FRC/SRC
2516,48,,35 Days,All Unlimited Local + STD calls in National Roaming (35 Days). For 4G H/s and 4G SIM (84 days) -- Applicable only on FRC 445(T&C apply) -- Applicable only for new subscribers as FRC/SRC
2517,58,23,28 days,"50B 3G/4G Data -- All Local Mobile and STD calls @1.75p/sec, LL @2.5p/sec -- Applicable only for new subscribers as FRC/SRC"
2518,82,47,28 days,"50 MB 3G/4G Data -- All Local Mobile and STD calls @1.75p/sec, LL @2.5p/sec -- Applicable only for new subscribers as FRC/SRC"
2519,96,61,28 days,"50 MB 3G/4G Data -- All Local Mobile and STD calls @1.75p/sec, LL @2.5p/sec -- Applicable only for new subscribers as FRC/SRC"
2520,116,10,28 days,"2 GB for 4G H/S & 1 GB for non 4G H/S -- All Local Mobile & STD calls 1.75p/sec, LL 2.5p/sec -- Applicable only for new subscribers as FRC/SRC"
2521,126,86,28 days,"50 MB 3G/4G Data -- All Local Mobile and STD calls @1.75p/sec, LL @2.5p/sec -- Applicable only for new subscribers as FRC/SRC"
2522,145,,28 days,Unlimited Local & STD Airtel calls -- 2 GB data on 4G Handset with 4G SIM and 1 GB for others -- T&C apply -- Applicable only for new subscribers as FRC/SRC
2523,195,,28 days,"Ultd A2A L+N, 150 Min A2M -- 2 GB 4G H/s & 1 GB for non 4G H/s -- All Local Mob & STD calls 1.75p/s, LL 2.5p/s -- Applicable only for new subscribers as FRC/SRC"
2524,257,,28 days,"1GB 3G/4G DATA, LOCAL STD MOBILE @1.75P/SEC, LL @2.5P/SEC FOR 30 DAYS -- Applicable only for new subscribers as FRC/SRC"
2525,293,,84 days,4G handset with 4G SIM: Unlimited Local + STD Airtel mobile -- 1 GB/day Data (84 days)Other handset: Unlimited Local + STD -- 2 GB Data (35 days). T&C apply. -- Applicable only for new subscribers as FRC/SRC
2526,345,,28 days,Unlimited all Local + STD calls -- 1 GB/day 3G/4G data -- T&C apply. -- Applicable only for new subscribers as FRC/SRC
2527,445,,84 Days,4G handset with 4G SIM: Unlimited Local + STD -- 1GB day Data (84 days)Other handset: Unlimited Local + STD -- 2 GB Data (35 days) -- T&C apply. -- Applicable only for new subscribers as FRC/SRC
2528,491,,27 days,5 GB 3G/4G Data -- Applicable only for new subscribers as FRC/SRC
