id,cost,talktime,validity,comments
2498,18,,54 days,Enjoy 11p/s Nepal Call and other discounted ISD Calls.
2499,494,,1 day,Unlimited incoming -- 500 MB data -- 100 SMS/day -- 100 min Local/call to India
2500,647,,1 day,Free benefits: Unlimited incoming -- 500 MB Data -- 100 SMS/Day -- 100 Min Loc/Call to India
2501,649,,1 day,"100min incoming,100min Local/call to India -- 500 MB data -- 100 SMS/day"
2502,995,,1 day,"100min incoming, 100min Local/call to India -- 500 MB data -- 100SMS/day -- Till 12:00 midnight. "
2503,1199,,10 days,Free benefits: Unlimited incoming -- 3 GB data -- 100sms/Day -- 250min local/call to India -- For covered countries/tariff visit www.airtel.in/IR
2504,2499,,30 days,Free benefits: unlimited incoming -- 5 GB data -- 100 sms/Day -- 500 min loc/call to India
2505,2998,,10 days,Free benefits: 250 min incoming -- 3 GB data -- 100sms/Day -- 250min local/call to India -- For covered countries/tariff visit www.airtel.in/IR
2506,2999,,10 days,Free benefits: Unlimited incoming -- 3 GB data -- 100sms/Day -- 250min local/call to India -- For covered countries/tariff visit www.airtel.in/IR
2507,3995,,10 days,Free benefits: 250 min incoming -- 3 GB data -- 100 sms/Day -- 250 min local/call to India
2508,3996,,30 days,Free benefits: unlimited incoming -- 5 GB data -- 100 sms/Day -- 500 min loc/call to India
2509,3997,,30 days,Free benefits: unlimited incoming -- 5 GB data -- 100 sms/Day -- 500 min loc/call to India
2510,6999,,30 days,Free benefits: unlimited incoming -- 5 GB data -- 100 sms/Day -- 500 min loc/call to India
