id,cost,talktime,validity,comments
10282,9,,5 days,All Local+STD Calls @25p/min
10283,19,,28 days,"All Local + STD Mobile Calls @30p/m, 1st 120 sec @2p/s"
10284,23,,28 days,All Local Idea 2 Idea at @ 10p/min(1st 90 secs at 2p)
10285,24,,60 days,All Local & STD calls @1p/sec
10286,32,,28 days,All Local Mobile Calls at 25p/m(1st 90 secs at 2p)
10287,75,,14 days,300 Local + STD Mins
10288,94,,28 days,750 Local Idea Minutes
10289,95,,28 days,350 Local + STD Mins
10290,135,,28 days,550 Local + STD Mins
10291,248,,10 days,Unlimited Local + STD mobile
10292,299,,14 days,Unlimited Local + STD mobile
10293,698,,30 days,"Unlimited Local + STD mobile calls -- Commercial activity will mean customers using the said product for calling 100 unique callers in a week or more than 500 mins in a day or 1200 mins in a week. For any customer found violating any of these conditions, the pack will be deactivated -- This STV should not be used for any commercial activity. "
