id,cost,talktime,validity,comments
15212,150,150,N.A,Talktime of Rs. 150 for Rs. 150 recharge by Tata Indicom
15213,200,200,N.A,Talktime of Rs. 200 for Rs. 200 recharge by Tata Indicom
15214,300,300,N.A,Talktime of Rs. 300 for Rs. 300 recharge by Tata Indicom
15215,400,400,N.A,Talktime of Rs. 400 for Rs. 400 recharge by Tata Indicom
15216,500,500,N.A,Talktime of Rs. 500 for Rs. 500 recharge by Tata Indicom
15217,600,600,N.A,Talktime of Rs. 600 for Rs. 600 recharge by Tata Indicom
15218,700,700,N.A,Talktime of Rs. 700 for Rs. 700 recharge by Tata Indicom
15219,800,800,N.A,Talktime of Rs. 800 for Rs. 800 recharge by Tata Indicom
15220,900,900,N.A,Talktime of Rs. 900 for Rs. 900 recharge by Tata Indicom
15221,1000,1000,N.A,Talktime of Rs. 1000 for Rs. 1000 recharge by Tata Indicom
15222,1500,1500,N.A,Talktime of Rs. 1500 for Rs. 1500 recharge by Tata Indicom
15223,2000,2000,N.A,Talktime of Rs. 2000 for Rs. 2000 recharge by Tata Indicom
