id,cost,talktime,validity,comments
7440,13,15,2 days,10MB 2G/3G Data
7441,20,20,N.A,Full Talk value offer equal to Rs.20 from 15 to 20 Aug 2017. Other days talktime 14.95
7442,40,40,N.A,Full Talk value offer equal to Rs.40 from 15 to 20 Aug 2017. Other days talktime 30.9
7443,60,60,N.A,Full Talk value offer equal to Rs.60 from 15 to 20 Aug 2017. Other days talktime 47.85
7444,76,80,10 days,30MB 2G/3G Data
7445,80,80,N.A,Full Talk value offer equal to Rs.80 from 15 to 20 Aug 2017. Other days talktime 64.8
7446,120,130,N.A,Talk value offer equal to Rs.130 from 15 to 20 Aug 2017. Other days talktime 98.69
7447,160,180,N.A,Talk value offer equal to Rs.180 from 15 to 20 Aug 2017. Other days talktime 132.59
7448,177,180,15 days,50MB 2G/3G Data
7449,189,220,14 days,Rs189 in main account + Rs31 in dedicated account -- 1 GB 2G/3G Data
7450,289,340,28 days,Rs289 in main account + Rs51 in dedicated account -- 1 GB 2G/3G data
7451,389,460,30 days,Rs389 in main account + Rs71 in dedicated account -- 1 GB 2G/3G data.
7452,599,786,30 days,Talktime: Rs.507 in main account + Rs.279 in dedicated account (30 days) -- 10 on-net local SMS.
7453,1402,1402,30 days,Rs.1402 Usage value in main account + All national voice calls @0.9 paisa/sec --  250 MB data -- 250 SMS any net
7457,59,33,2 days,500 MB 2G/3G Data and beyond freebies volume based data charges @ 5 paisa/MB from 0200 hours to 0600 hours
7462,111,90,20 days,70 Min Free On-net calls
7466,222,190,40 days,110 Min Free Local/STD call on BSNL Network
7468,258,220,30 days,110 free voice calls
7478,43,9,30 days,300 Minutes Local or STD Onnet Night 
7479,47,20,21 days,Local On Net at 20p/Min 
7480,49,11,30 days,Local or STD Onnet Night at 0.05 per Min 
7481,84,24,60 days,All STD voice calls at Rs0.35 per Minute 
7482,146,25,30 days,1800 Min Local or STD Onnet Night 11PM to 6AM
7483,209,25,90 days,Local Call Anynet at 1 ps per 2 sec 
7484,381,75,90 days,2.5 GB 2G/3G Data -- All voice call local/STD in Home LSA calls @55 paisa/min -- Applicable for free data and reduced tariff only -- Applicable to Freedom Plan
7485,701,150,90 days,5 GB 2G/3G Data -- All voice call local/STD in Home LSA calls @45 paisa/min -- Applicable for free data and reduced tariff only -- Applicable to Freedom Plan
7486,1001,300,90 days,9 GB 2G/3G Data -- All voice call local/STD in Home LSA calls @35 paisa/min -- Applicable for free data and reduced tariff only -- Applicable to Freedom Plan
7487,1202,400,90 days,11 GB 2G/3G Data -- All voice call local/STD in Home LSA calls @25 paisa/min -- Applicable for free data and reduced tariff only -- Applicable to Freedom Plan
7493,125,,30 days,Free 177 minutes anynet (local/STD/On-net/Off-net) in Home LSA -- Free data 200MB available in Home LSA and while Roaming -- Free SMS100 (local/National/On-net/Off-net) available in Home LSA and while Roaming
7495,26,,26 hours,U/L voice (local/STD) (Onnet/offnet) in Home LSA + 1 onnet local SMS
