id,cost,talktime,validity,short description,long description
12389,138,,28 days,Recharge of Rs. 138 by Idea,"Unlimited On Net local/STD mobile calls -- 50 MB 2G/3G/4G data (4G handset users will get additional 250 MB 2G/3G/4G data) -- Commercial activity will mean customers using the said product for calling 100 unique callers in a week or more than 300 mins in a day or 1200 mins in a week. For any customer found violating any of these conditions, tariff @ Rs 0.30/min will be applicable -- Customers newly upgrading to 4G Handset will be eligible to get additional data only after 48 hours of handset upgrade. Additional data can be used on 4G handset only -- This STV should not be used for any commercial activity. "
12390,243,,28 days,Recharge of Rs. 243 by Idea,Free Local calls with FUP -- 50 MB 2G/3G/4G data (4G handset users will get additional 974 2G/3G/4G data^) -- This STV should not be used for any commercial activity
12391,348,,28 days,Recharge of Rs. 348 by Idea,"Free Local/STD calls -- Commercial activity will mean customers using the said product for calling 100 unique callers in a week or more than 300 mins in a day or 1200 mins in a week. For any customer found violating any of these conditions, tariff @ Rs 0.30/min will be applicable -- 1 GB 2G/3G/4G data (4G handset users will get 1GB/Day 2G/3G/4G data, Customers newly upgrading to 4G Handset will be eligible to get additional data only after 48 hours of handset upgrade. Additional data can be used on 4G handset only) -- This STV should not be used for any commercial activity."
12392,8,,1 day,Recharge of Rs. 8 by Idea,30 MB Data -- Overage: 4p/10KB  -- 
12393,17,,1 hour,Recharge of Rs. 17 by Idea,Unlimited 3G/2G - @ 1 hour -- Overage: 4p/10KB  -- 
12394,21,,3 days,Recharge of Rs. 21 by Idea,85 MB Data -- Overage: 4p/10KB  -- 
12395,24,,28 days,Recharge of Rs. 24 by Idea,250 MB Data -- Overage: 4p/10KB
12396,37,,28 days,Recharge of Rs. 37 by Idea,Internet usage at Rs 0.004/10KB -- Overage: 4p/10KB
12397,48,,7 days,Recharge of Rs. 48 by Idea,195 MB Data -- Overage: 4p/10KB
12398,51,,28 days,Recharge of Rs. 51 by Idea,1 GB 3G Data -- Overage: 4p/10KB -- Available only after Long Term Plan Recharge of MRP 1498
12399,53,,2 days,Recharge of Rs. 53 by Idea,1 GB Data -- Overage: 4p/10KB
12400,69,,7 days,Recharge of Rs. 69 by Idea,280 MB Data -- Overage: 4p/10KB  -- 
12401,77,,28 days,Recharge of Rs. 77 by Idea,Internet usage at Rs 0.003/10KB -- Overage: 4p/10KB
12402,93,,10 days,Recharge of Rs. 93 by Idea,370 MB Data -- Overage: 4p/10KB
12403,98,,28 days,Recharge of Rs. 98 by Idea,Freedom pack- 250 MB Data -- Overage: 4p/10KB -- 
12404,98,,28 days,Recharge of Rs. 98 by Idea,2 GB 3G Data -- Overage: 4p/10KB -- Available only after Long Term Plan recharge of MRP 1498
12405,98,,28 days,Recharge of Rs. 98 by Idea,1 GB 3G Data -- Overage: 4p/10KB -- Available only after Long Term Plan recharge of MRP 748
