id,cost,talktime,validity,short description,long description
14812,10,7.47,N.A,Recharge of Rs. 10 by RelianceGSM,Talktime of Rs. 7.47 for Rs. 10 recharge by Reliance GSM
14813,20,14.95,N.A,Recharge of Rs. 20 by RelianceGSM,Talktime of Rs. 14.95 for Rs. 20 recharge by Reliance GSM
14814,30,22.42,N.A,Recharge of Rs. 30 by RelianceGSM,Talktime of Rs. 22.42 for Rs. 30 recharge by Reliance GSM
14816,40,30.9,N.A,Recharge of Rs. 40 by RelianceGSM,Talktime of Rs. 30.9 for Rs. 40 recharge by Reliance GSM
14817,50,39.37,N.A,Recharge of Rs. 50 by RelianceGSM,Talktime of Rs. 39.37 for Rs. 50 recharge by Reliance GSM
14819,70,57.32,N.A,Recharge of Rs. 70 by RelianceGSM,Talktime of Rs. 57.32 for Rs. 70 recharge by Reliance GSM
14823,90,74.27,N.A,Recharge of Rs. 90 by RelianceGSM,Talktime of Rs. 74.27 for Rs. 90 recharge by Reliance GSM
14824,100,81.75,N.A,Recharge of Rs. 100 by RelianceGSM,Talktime of Rs. 81.75 for Rs. 100 recharge by Reliance GSM
14826,110,90.22,N.A,Recharge of Rs. 110 by RelianceGSM,Talktime of Rs. 90.22 for Rs. 110 recharge by Reliance GSM
14827,220,183.44,N.A,Recharge of Rs. 220 by RelianceGSM,Talktime of Rs. 183.44 for Rs. 220 recharge by Reliance GSM
14828,330,276.66,N.A,Recharge of Rs. 330 by RelianceGSM,Talktime of Rs. 276.66 for Rs. 330 recharge by Reliance GSM
14829,400,335.98,N.A,Recharge of Rs. 400 by RelianceGSM,Talktime of Rs. 335.98 for Rs. 400 recharge by Reliance GSM
14830,550,463.1,N.A,Recharge of Rs. 550 by RelianceGSM,Talktime of Rs. 463.1 for Rs. 550 recharge by Reliance GSM
14831,770,767,N.A,Recharge of Rs. 770 by RelianceGSM,Talktime of Rs. 767 for Rs. 770 recharge by Reliance GSM
14832,1000,844.46,N.A,Recharge of Rs. 1000 by RelianceGSM,Talktime of Rs. 844.46 for Rs. 1000 recharge by Reliance GSM
