id,cost,talktime,validity,short description,long description
18972,9,,7 days,Recharge of Rs. 9 by Vodafone,Local Mobile calls @30p/min
18973,17,,60 days,Recharge of Rs. 17 by Vodafone,Local Mobile calls @1p/sec
18974,22,,28 days,Recharge of Rs. 22 by Vodafone,Local Vodafone Calls @10p/min
18975,24,,28 days,Recharge of Rs. 24 by Vodafone,Local Mobile calls @30p/min
18976,28,,45 days,Recharge of Rs. 28 by Vodafone,All Local Calls @ 1.75P/2Secs
18977,34,,28 days,Recharge of Rs. 34 by Vodafone,All Local Mobile calls @ 25p/min
18978,35,,28 days,Recharge of Rs. 35 by Vodafone,Local + Std Mobile calls @30p/min
18979,37,,28 days,Recharge of Rs. 37 by Vodafone,Local+ Std mobile calls @ 35/m 
18980,43,,28 days,Recharge of Rs. 43 by Vodafone,Local / STD mobile calls @30p
18981,49,,28 days,Recharge of Rs. 49 by Vodafone,Vodafone to Vodafone calls @ 10p/min & V2O calls @30p/min
18982,56,,28 days,Recharge of Rs. 56 by Vodafone,Local V2VMobile calls @15p/min
18983,65,,30 days,Recharge of Rs. 65 by Vodafone,"Vodafone to vodafone  calls @10p/min, Vodafone to Other calls @30p/Min -- STD Calls @30p/min"
18984,66,,36 days,Recharge of Rs. 66 by Vodafone,Local Mobile calls @30p/min
18985,69,,28 days,Recharge of Rs. 69 by Vodafone,Local V2VMobile calls @10p/min
18986,75,,14 days,Recharge of Rs. 75 by Vodafone,Local + Std 250 mins
18987,94,,7 days,Recharge of Rs. 94 by Vodafone,Unlimited Local Vodafone to Vodafone calls
18988,95,,28 days,Recharge of Rs. 95 by Vodafone,Local + Std 15000 sec
18989,109,,60 days,Recharge of Rs. 109 by Vodafone,Local V2V Mobile calls @15p/min
18990,147,,28 days,Recharge of Rs. 147 by Vodafone,14700 STD/Local Seconds
18991,149,,60 days,Recharge of Rs. 149 by Vodafone,Local + National Mobile Calls @ 30p/min
18992,171,,14 days,Recharge of Rs. 171 by Vodafone,Unlimited Local v2v
18993,178,,28 days,Recharge of Rs. 178 by Vodafone,Local + STD 28000 seconds
18994,228,,28 days,Recharge of Rs. 228 by Vodafone,Local + STD 750 minutes
18995,349,,21 days,Recharge of Rs. 349 by Vodafone,Unlimited Local Vodafone calls
18996,351,,28 days,Recharge of Rs. 351 by Vodafone,44000 Local/STD Secs 
18997,499,,28 days,Recharge of Rs. 499 by Vodafone,62000 Local/STD Secs 
18998,501,,14 days,Recharge of Rs. 501 by Vodafone,"Now EnjoyFree 100 minutes Onnet STD Calls Daily ,Other STD & STD beyond 100 minutes will be charged Rs 1/3 min"
18999,699,,14 days,Recharge of Rs. 699 by Vodafone,Unlimited Local Mobile and Landline Calls 
19000,999,,14 days,Recharge of Rs. 999 by Vodafone,"Unlimited Local , STD Mobile and Landline Calls "
