id,cost,talktime,validity,comments
2571,9,,1 day,50 MB 4G/3G/2G Data
2572,15,,2 days,85 MB 4G/3G/2G Data
2574,26,,4 days,150 MB 4G/3G/2G Data
2575,33,,30 days,125 MB 4G/3G/2G Data
2576,46,,28 days,175 MB 4G/3G/2G Data
2577,47,,6 days,275 MB 4G/3G/2G Data
2579,68,,10 days,375 MB 4G/3G/2G Data
2580,93,,4 days,1 GB 4G/3G/2G Data
2581,95,,12 days,"500 MB 4G/3G/2G Data -- 2 GB Data (28 Days) for RC 1499 takers and 1 GB, 28 Days for RC 749 takers"
2583,126,,18 days,700 MB 4G/3G/2G Data
2584,145,,27 days,375 MB 4G/3G/2G Data
2585,146,,6 days,2 GB 4G/3G/2G Data
2586,157,,27 days,425 MB 4G/3G/2G Data
2587,175,,27 days,1 GB 4G/3G/2G Data
2588,199,,27 days,500 MB 4G/3G/2G Data
2590,265,,27 days,1.5 GB 4G/3G/2G Data (5GB post RC1499 or 2.5GB post RC749 or 2GB post RC495)
2591,299,,27 days,2 GB 4G/3G/2G Data
2592,348,,27 days,2.5 GB 4G/3G/2G Data
2594,695,,90 days,Unlimited Airtel calls -- 500 MB 4G/3G/2G data -- T&C Apply
2595,795,,90 days,Unlimited Airtel calls -- 1 GB 4G/3G/2G data -- T&C Apply
2596,992,,365 days,10 GB 4G/3G/2G Data
2597,24,,1 day,Unlimited L+S Airtel Local+STD Calls -- 100 MB 4G/3G/2G Data for 4G HS (50MB others)
2598,54,,7 days,Unlimited L+S Airtel Calls -- 250 MB 4G/3G/2G Data for 4G HS (50 MB others)
2599,94,,7 days,Unlimited Local + STD Airtel Calls + 100 Local + STD Mins to others -- 250 MB 4G/3G/2G Data for 4G handset and 50 MB for others
