id,cost,talktime,validity,comments
5842,6,,2 days,Local on-net at 10 paisa per min
5843,11,,4 days,Local any net at 1paisa per 2 Sec
5844,26,,26 hours,U/L Voice(Local/STD)(On-Net/Off-Net) in Home LSA
5845,31,,1 day,72 Mins Local or STD calls Anynet
5846,41,,30 days,Local or STD any net at 0.8paisa per sec
5847,44,,25 days,Local Any Net Call 1.4ps per 2 Sec
5848,58,,8 days,5600 Sec Loc or STD to any network
5849,65,,30 days,Onnet local at 15 paisa per min and onnet STD at 20 paisa per min per 30 days -- 
5850,69,,30 days,Local calls any net at 1 piasa per 2 sec
5851,88,,90 days,Local/STD any net at 0.8paisa/sec
5852,132,,75 days,Local Any Net Call 1.4ps per 2 Sec
5853,135,,28 days,275 min free to any network (Local/STD)
5854,145,,24 days,20000 Seconds Local or STD Anynet
5855,159,,28 days,Free 20300 Secs.Local/STD any net
5856,164,,5 days,Unlimited Local or STD On Net -- 
5857,181,,30 days,23800 Sec Local/STD Voice Calls to Any N/w
5858,201,,28 days,Free 26800 Secs  to Any Network Local and STD Calls
5859,344,,24 days,Local call  On Net Unlimited free -- 
5860,359,,60 days,Free 52000 Secs to Any Network Local and STD Calls
5861,448,,84 days,Free 1400 Mins to Any Network Local and STD Calls
5862,698,,28 days,Unlimited Local and STD OnNet Voice Call
5863,699,,30 days,Free 1200 local offnet minutes -- 
5864,894,,81 days,Local call  On Net Unlimited free -- 
