id,cost,talktime,validity,comments
5768,10,7.47,N.A,Talktime of Rs. 7.47 for Rs. 10 recharge by BSNL
5769,30,22.42,N.A,Talktime of Rs. 22.42 for Rs. 30 recharge by BSNL
5772,50,39.37,N.A,Talktime of Rs. 39.37 for Rs. 50 recharge by BSNL
5773,100,81.75,N.A,Talktime of Rs. 81.75 for Rs. 100 recharge by BSNL
5774,110,90.22,N.A,Talktime of Rs. 90.22 for Rs. 110 recharge by BSNL
5775,150,124.12,N.A,Talktime of Rs. 124.12 for Rs. 150 recharge by BSNL
5776,200,166.49,N.A,Talktime of Rs. 166.49 for Rs. 200 recharge by BSNL
5777,210,174.97,N.A,Talktime of Rs. 174.97 for Rs. 210 recharge by BSNL
5778,250,208.86,N.A,Talktime of Rs. 208.86 for Rs. 250 recharge by BSNL
5779,300,251.24,N.A,Talktime of Rs. 251.24 for Rs. 300 recharge by BSNL
5780,350,293.61,N.A,Talktime of Rs. 293.61 for Rs. 350 recharge by BSNL
5781,400,335.98,N.A,Talktime of Rs. 335.98 for Rs. 400 recharge by BSNL
5782,450,378.36,N.A,Talktime of Rs. 378.36 for Rs. 450 recharge by BSNL
5783,500,420.73,N.A,Talktime of Rs. 420.73 for Rs. 500 recharge by BSNL
5787,3300,2796.61,N.A,Talktime of Rs. 2796.61 for Rs. 3300 recharge by BSNL
5788,5000,4234.29,N.A,Talktime of Rs. 4234.29 for Rs. 5000 recharge by BSNL
5789,5500,4661.02,N.A,Talktime of Rs. 4661.02 for Rs. 5500 recharge by BSNL
