cost,monthly-cost,talktime,monthly-talktime,validity,details,comments
10,nil,7.47,nil,nil,Cost: Rs10 | Validity: Unlimited | Talktime: Rs7.47,Talktime of Rs. 7.47 for Rs. 10 recharge by Idea
20,nil,14.95,nil,nil,Cost: Rs20 | Validity: Unlimited | Talktime: Rs14.95,Talktime of Rs. 14.95 for Rs. 20 recharge by Idea
30,nil,22.42,nil,nil,Cost: Rs30 | Validity: Unlimited | Talktime: Rs22.42,Talktime of Rs. 22.42 for Rs. 30 recharge by Idea
40,nil,30.9,nil,nil,Cost: Rs40 | Validity: Unlimited | Talktime: Rs30.9,Talktime of Rs. 30.9 for Rs. 40 recharge by Idea
60,nil,47.85,nil,nil,Cost: Rs60 | Validity: Unlimited | Talktime: Rs47.85,Magic Recharge. Customer gets surprise talktime between Rs.51 to Rs.100
70,nil,56.32,nil,nil,Cost: Rs70 | Validity: Unlimited | Talktime: Rs56.32,Talktime of Rs. 56.32 for Rs. 70 recharge by Idea
80,nil,64.8,nil,nil,Cost: Rs80 | Validity: Unlimited | Talktime: Rs64.8,Talktime of Rs. 64.8 for Rs. 80 recharge by Idea
90,nil,73.27,nil,nil,Cost: Rs90 | Validity: Unlimited | Talktime: Rs73.27,Magic Recharge. Customer gets surprise talktime between Rs.81 to Rs.120
110,nil,90.22,nil,nil,Cost: Rs110 | Validity: Unlimited | Talktime: Rs90.22,Talktime of Rs. 90.22 for Rs. 110 recharge by Idea
120,nil,98.69,nil,nil,Cost: Rs120 | Validity: Unlimited | Talktime: Rs98.69,Talktime of Rs. 98.69 for Rs. 120 recharge by Idea
130,nil,107.17,nil,nil,Cost: Rs130 | Validity: Unlimited | Talktime: Rs107.17,Talktime of Rs. 107.17 for Rs. 130 recharge by Idea
150,nil,143,nil,nil,Cost: Rs150 | Validity: Unlimited | Talktime: Rs143,Talktime of Rs. 143 for Rs. 150 recharge by Idea
180,nil,180,nil,nil,Cost: Rs180 | Validity: Unlimited | Talktime: Rs180,Talktime of Rs. 180 for Rs. 180 recharge by Idea
200,nil,200,nil,nil,Cost: Rs200 | Validity: Unlimited | Talktime: Rs200,Talktime of Rs. 200 for Rs. 200 recharge by Idea
220,nil,220,nil,nil,Cost: Rs220 | Validity: Unlimited | Talktime: Rs220,Talktime of Rs. 220 for Rs. 220 recharge by Idea
250,nil,250,nil,nil,Cost: Rs250 | Validity: Unlimited | Talktime: Rs250,Talktime of Rs. 250 for Rs. 250 recharge by Idea
300,nil,300,nil,nil,Cost: Rs300 | Validity: Unlimited | Talktime: Rs300,Talktime of Rs. 300 for Rs. 300 recharge by Idea
330,nil,330,nil,nil,Cost: Rs330 | Validity: Unlimited | Talktime: Rs330,Talktime of Rs. 330 for Rs. 330 recharge by Idea
350,nil,350,nil,nil,Cost: Rs350 | Validity: Unlimited | Talktime: Rs350,Talktime of Rs. 350 for Rs. 350 recharge by Idea
400,nil,400,nil,nil,Cost: Rs400 | Validity: Unlimited | Talktime: Rs400,Talktime of Rs. 400 for Rs. 400 recharge by Idea
500,nil,500,nil,nil,Cost: Rs500 | Validity: Unlimited | Talktime: Rs500,Talktime of Rs. 500 for Rs. 500 recharge by Idea
1000,nil,1000,nil,nil,Cost: Rs1000 | Validity: Unlimited | Talktime: Rs1000,Talktime of Rs. 1000 for Rs. 1000 recharge by Idea
1500,nil,1500,nil,nil,Cost: Rs1500 | Validity: Unlimited | Talktime: Rs1500,Talktime of Rs. 1500 for Rs. 1500 recharge by Idea
2000,nil,2000,nil,nil,Cost: Rs2000 | Validity: Unlimited | Talktime: Rs2000,Talktime of Rs. 2000 for Rs. 2000 recharge by Idea
2500,nil,2500,nil,nil,Cost: Rs2500 | Validity: Unlimited | Talktime: Rs2500,Talktime of Rs. 2500 for Rs. 2500 recharge by Idea
3000,nil,3000,nil,nil,Cost: Rs3000 | Validity: Unlimited | Talktime: Rs3000,Talktime of Rs. 3000 for Rs. 3000 recharge by Idea
