cost,talktime,validity,comments
10,7.47,nil,
20,14.95,nil,
30,22.42,nil,
40,30.9,nil,
50,39.37,nil,
50,50,nil,(Rs 50 Talktime, if recharged through Idea Website or Idea App) Magic Recharge. Customer gets surprise talktime between Rs.51 to Rs.100
60,47.85,nil,Magic Recharge. Customer gets surprise talktime between Rs.51 to Rs.100
70,56.32,nil,
80,64.8,nil,
90,73.27,nil,Magic Recharge. Customer gets surprise talktime between Rs.81 to Rs.120
100,81.74,nil,
100,100,nil,(Rs 100 Talktime, if recharged through Idea Website or Idea App)
110,90.22,nil,
120,98.69,nil,
130,107.17,nil,
150,143,nil,
180,180,nil,
200,200,nil,
200,220,nil,(Exclusive offer,Rs220 Talktime on My Idea App and Idea Website)
220,220,nil,
250,250,nil,
300,300,nil,
330,330,nil,
350,350,nil,
400,400,nil,
500,500,nil,
1000,1000,nil,
1500,1500,nil,
2000,2000,nil,
2500,2500,nil,
3000,3000,nil,
