id,cost,talktime,validity,comments
8068,24,,3 days,100 MB 3G/2G
8071,39,,25 days,160MB 3G/2G
8073,59,,3 days,250 MB 3G/2G Data
8074,63,,28 days,300 MB 3G/2G Data
8075,89,,15 days,300 MB 3G/2G Data
8077,108,,7 days,2 GB 3G/2G Data
8078,115,,28 days,300 MB 2G/3G Day Data + 300 MB Free 2G/3G Night Data ( 12 Midnight - 6 AM)
8080,127,,28 days,1 GB 3G/2G Data
8081,128,,7 days,3072 MB
8083,141,,21 days,1 GB 3G/2G Data
8085,198,,28 days,2 GB 3G/2G Data
8086,216,,28 days,1 GB 3G/2G Data
8087,255,,28 days,4 GB 3G/2G Data
8088,309,,28 days,2 GB 3G Data + 30 GB wifi Data.(Wifi Data can be used only in selected Loation)
8089,351,,30 days,2GB 3G/2G Data
8090,445,,30 days,2.5 GB 3G/2G Data
8091,469,,28 days,4 GB 3G/2G Data
8092,501,,365 days,5GB 3G/2G Dta
8093,995,,28 days,10 GB 3G/2G Data
8095,249,,28 days,1 GB 3G per Day VBC Rate of 10p/1MB would be applicable post consumption of 1GB/day
8096,348,,28 days,Unlimited (Local +STD) calls* --  2GB 3G Data
8097,359,,28 days,3 GB 3G/2G Data
8098,296,,28 days,"700 Local & National Mobile Minutes for 28 days, with 500 MB 3G data per day for 28 days -- Post consumption of free 700 mobile min customer will be charged @ 1p/sec. Landline to be charged @ 2p/sec. Balance data will be forfeited on daily basis"
