id,cost,talktime,validity,short description,long description
8099,12,,3 days,Recharge of Rs. 12 by Docomo,"30 mins of Local and STD calls Free,Post free minutes all mobile calls will be charged @ 96p/min"
8100,14,,28 days,Recharge of Rs. 14 by Docomo,STD On-Net & Off-Net mobile calls @ 30p/min
8101,18,,28 days,Recharge of Rs. 18 by Docomo,Local mob calls at 1p/2sec
8102,21,,28 days,Recharge of Rs. 21 by Docomo,Local On-Net Mobile Calls @ 10p/min
8103,22,,28 days,Recharge of Rs. 22 by Docomo,Local & STD calls @ 20p/ min
8104,29,,45 days,Recharge of Rs. 29 by Docomo,Local/STD Mobile calls @1p/ sec
8105,33,,56 days,Recharge of Rs. 33 by Docomo,Local On-Net & Off-Net Mobile Calls @ 30p/min 
8106,36,,56 days,Recharge of Rs. 36 by Docomo,Local On-Net mobile calls @ 10p/ min
8107,38,,21 days,Recharge of Rs. 38 by Docomo,Local On-Net/Off-Net Mobile Calls @35p/min
8108,44,,28 days,Recharge of Rs. 44 by Docomo,Local/STD Mobile calls @ 30p/min
8109,51,,21 days,Recharge of Rs. 51 by Docomo,Local mob calls at 25p/min
8110,58,,56 days,Recharge of Rs. 58 by Docomo,Local On-Net Mobile Calls @ 30p/min; Local Off-Net Mobile Calls @ 30p/min -- STD On-Net mobile calls @ 30p/min -- STD Off-Net mobile calls @ 30p/min
8111,61,,56 days,Recharge of Rs. 61 by Docomo,Local On-Net mobile calls @ -- Local Off-Net mobile calls @ -- STD On-Net mobile calls @ 25p/min -- STD Off-Net mobile calls @ 25p/min
8112,64,,28 days,Recharge of Rs. 64 by Docomo,Local On-Net mobile calls @ 1p/2s -- Local Off-Net mobile calls @ 1p/2s
8113,69,,56 days,Recharge of Rs. 69 by Docomo,Local/STD Mobile calls @ 35p/min
8114,77,,28 days,Recharge of Rs. 77 by Docomo,667 Local On-Net mins
8115,86,,28 days,Recharge of Rs. 86 by Docomo,Local On-Net & Off-Net calls @ 30p/ min -- STD On-Net & Off-Net mobile calls @ 25p/ min.
8116,97,,21 days,Recharge of Rs. 97 by Docomo,250 mins of Local and STD mobile calls free
8117,99,,28 days,Recharge of Rs. 99 by Docomo,Local/STD Mobile calls @ 1p/2 Secs 
8118,101,,28 days,Recharge of Rs. 101 by Docomo,Local On-Net & Off-Net calls @ 25p/ min -- STD On-Net calls @ 25p/ min
8119,107,,14 days,Recharge of Rs. 107 by Docomo,Free 600 tata to tata and 200 tata to other local mobile mins
8120,123,,21 days,Recharge of Rs. 123 by Docomo,"Free onnet local mobile calls in off peak hour between 10 pm to 6 pm, local onnet call peak hour 6pm to 10 pm 1p/sec, all other L+ N mobile"
8121,148,,14 days,Recharge of Rs. 148 by Docomo,"Unlimited Loca/STD 750 Min, Post capping loc/std calls@30p/min"
8122,163,,28 days,Recharge of Rs. 163 by Docomo,"Free onnet local mobile calls in off peak hour between 10 pm to 6 pm, local onnet call peak hour 6pm to 10 pm 1p/sec, all other L+ N mobile calls@1.2p/s"
8123,197,,28 days,Recharge of Rs. 197 by Docomo,1200 LocalTata Mins and 400 Mins other local
8124,242,,28 days,Recharge of Rs. 242 by Docomo,1500 Local TATA and 400 Local other calls
8125,298,,28 days,Recharge of Rs. 298 by Docomo,"Loc/STD 2000Mins call, Post capping loc/STD calls@30p/min"
8126,649,,28 days,Recharge of Rs. 649 by Docomo,Unlimited Local calls (FUP 3000) mins
8127,666,,28 days,Recharge of Rs. 666 by Docomo,"150000 Local secs, After 150000 secs Local calls @ 1.5p/ sec."
