id,cost,talktime,validity,comments
5999,26,,26 hours,Unlimited Local/STD any net in Home LSA + 1 on-net local SMS
6000,31,,1 day,72mins LOCAL AND STD CALLS ONNET -- 
6001,39,,30 days,Local & STD on-net night (11 pm to 6 am) @ 5 ps /min. -- 
6002,42,,21 days,For Per Sec Plan: 1ps/3secs for On-Net voice calls (Local/STD)2ps/3 secs for Off-Net voice calls (Local/STD). -- 
6003,45,,25 days,Local call anynet at 1.4ps per 2secs
6004,65,,27 days,Local on net at 15 paisa per minute -- 
6005,66,,30 days,"Local onNet calls 1ps/2Sec, Offnet Calls 1Ps/1sec -- STD onNet calls 3 p/ 2Sec, Offnet Calls 2p/1sec"
6006,69,,30 days,Local Call Anynet at 1 ps per 2 sec
6007,88,,48 days,For Per Minute plan:(a)10paisa/min for On-net voice calls (Local/STD)(b)30paisa/min for Off-netvoicecalls(Local/STD) -- For Per Second plan:(a)1paisa/3sec for On-net voice calls (Local/STD) (b)2paisa/3 sec for Off-net Voice calls (Local/STD)
6008,122,,75 days,Local call anynet at 1.4ps per 2secs
6009,135,,28 days,275 min free to any network (Local/STD)
6010,143,,30 days,Unlimited On-net (Local/STD) Voice Calls + Daily 2OMinute Off-net(Local/STD) Voice Calls. -- This STV is applicable only for Plan_144 customers.
6011,149,,24 days,21000sec free to any network local or STD
6012,159,,28 days,20300 Seconds Local/STD Voice Calls Anynet
6013,161,,5 days,Unlimited Local STD on net -- 
6014,183,,90 days,"Local onNet calls 1ps/2Sec, Offnet Calls 1Ps/1sec -- STD onNet calls 3 p/ 2Sec, Offnet Calls 2p/1sec"
6015,201,,28 days,Free 26800 Secs  to Any Network Local and STD Calls
6016,341,,24 days,Unlimited Free local calls to BSNL -- 
6017,359,,60 days,Free 52000 Secs to Any Network Local and STD Calls
6018,449,,84 days,1400 min. Local/STD any net
6019,571,,27 days,Unlimited Local onnet call and 500 Min free STD calls Anynet -- 
6020,699,,28 days,Unlimited Local STD Calls to BSNL -- 
6021,891,,81 days,Unlimited Free local calls to BSNL -- 
6022,1491,,81 days,Unlimited Local onnet call and 1500 Min free STD calls Anynet -- 
