id,cost,talktime,validity,comments
10455,10,7.47,N.A,Talktime of Rs. 7.47 for Rs. 10 recharge by Idea
10456,20,14.95,N.A,Talktime of Rs. 14.95 for Rs. 20 recharge by Idea
10457,30,22.42,N.A,Talktime of Rs. 22.42 for Rs. 30 recharge by Idea
10458,40,30.9,N.A,Talktime of Rs. 30.9 for Rs. 40 recharge by Idea
10459,50,39.37,N.A,Talktime of Rs. 39.37 for Rs. 50 recharge by Idea
10460,60,47.85,N.A,Talktime of Rs. 47.85 for Rs. 60 recharge by Idea
10461,70,56.32,N.A,Magic Recharge ! Minimum Talktime Rs 56.32 Maximum Talktime Rs 100.00
10462,80,64.8,N.A,Talktime of Rs. 64.8 for Rs. 80 recharge by Idea
10463,100,81.75,N.A,Talktime of Rs. 81.75 for Rs. 100 recharge by Idea
10464,200,166.49,N.A,Talktime of Rs. 166.49 for Rs. 200 recharge by Idea
