id,cost,talktime,validity,short description,long description
13467,7,,1 day,Recharge of Rs. 7 by RelianceGSM,"R - R (Local & STD) @10p/Min, R - Others (Local & STD) @25p/Min"
13468,8,,2 days,Recharge of Rs. 8 by RelianceGSM,Local Onnet calls @ 15p/min and other Local + STD calls @ 35p/min
13469,18,,3 days,Recharge of Rs. 18 by RelianceGSM,Local Reliance Voice calls at 15p/min and other Local and STD voice calls at 35p/min
13470,19,,14 days,Recharge of Rs. 19 by RelianceGSM,All Local & STD calls at 30p/min
13471,32,,14 days,Recharge of Rs. 32 by RelianceGSM,All Local and National Mobile calls at 30p/min
13472,36,,60 days,Recharge of Rs. 36 by RelianceGSM,All Local Mobile calls @ 30p/Min
13473,41,,14 days,Recharge of Rs. 41 by RelianceGSM,100 STD Mobile minutes
13474,46,,28 days,Recharge of Rs. 46 by RelianceGSM,Local/STD mobile calls in Home and National Roaming location at 1.8p/2sec & Incoming Free while National Roaming
13475,47,,14 days,Recharge of Rs. 47 by RelianceGSM,250 Reliance Local Day minutes + 250 Reliance Local Night (11 PM - 06 AM) minutes for 30days
13476,52,,90 days,Recharge of Rs. 52 by RelianceGSM,All Local & STD Calls @25p
13477,56,,28 days,Recharge of Rs. 56 by RelianceGSM,All Local and STD Mobile Calls at 1p/2sec
13478,69,,7 days,Recharge of Rs. 69 by RelianceGSM,All India Reliance to Reliance calls Free from 11 PM to 6 AM
13479,74,,60 days,Recharge of Rs. 74 by RelianceGSM,All Local calls at 1.2ps / 2 secs.
13480,75,,84 days,Recharge of Rs. 75 by RelianceGSM,All local mobile calls at 30p/min
13481,76,,28 days,Recharge of Rs. 76 by RelianceGSM,All Local and STD Mobile Calls at 25p/min
13482,84,,7 days,Recharge of Rs. 84 by RelianceGSM,Unlimited Local & STD Onnet in home and roaming Unlimited Local & STD Offnet landline in home and roaming @30 min/day Local & STD Offnet mobile in home and roaming Incoming roaming Free 
13483,89,,7 days,Recharge of Rs. 89 by RelianceGSM,Local Reliance to Reliance at 10p/min
13484,119,,56 days,Recharge of Rs. 119 by RelianceGSM,All Local and STD Mobile Calls at 25p/min
13485,198,,28 days,Recharge of Rs. 198 by RelianceGSM,36000 local Mobile seconds
13486,295,,28 days,Recharge of Rs. 295 by RelianceGSM,Unlimited Local & STD Onnet in home and roaming Unlimited Local & STD Offnet landline in home and roaming @30 min/day Local & STD Offnet mobile in home and roaming Incoming roaming Free 
13487,297,,28 days,Recharge of Rs. 297 by RelianceGSM,"Unlimited Local Reliance -Reliance ,2000 Local Reliance -Other Network"
