id,cost,talktime,validity,comments
17271,250,250,N.A,Talktime of Rs. 250 for Rs. 250 recharge by Vodafone
17272,330,330,N.A,Talktime of Rs. 330 for Rs. 330 recharge by Vodafone
17273,350,350,N.A,Talktime of Rs. 350 for Rs. 350 recharge by Vodafone
17275,500,500,N.A,Talktime of Rs. 500 for Rs. 500 recharge by Vodafone
17277,600,600,N.A,Talktime of Rs. 600 for Rs. 600 recharge by Vodafone
17278,700,700,N.A,Talktime of Rs. 700 for Rs. 700 recharge by Vodafone
17279,750,750,N.A,Talktime of Rs. 750 for Rs. 750 recharge by Vodafone
17281,800,800,N.A,Talktime of Rs. 800 for Rs. 800 recharge by Vodafone
17282,900,900,N.A,Talktime of Rs. 900 for Rs. 900 recharge by Vodafone
17283,1000,1000,N.A,Talktime of Rs. 1000 for Rs. 1000 recharge by Vodafone
17285,2000,2000,N.A,Talktime of Rs. 2000 for Rs. 2000 recharge by Vodafone
17286,3000,3000,N.A,Talktime of Rs. 3000 for Rs. 3000 recharge by Vodafone
17287,4000,4000,N.A,Talktime of Rs. 4000 for Rs. 4000 recharge by Vodafone
17288,5000,5000,N.A,Talktime of Rs. 5000 for Rs. 5000 recharge by Vodafone
