id,cost,talktime,validity,comments
2925,3,,90 days,"STD mobile calls at 25p/min for 90 days, local Airtel calls at 10p/min and local other calls at 30p/min for 7 days, Landline at 2.5p/sec. -- Applicable only for new subscribers as FRC/SRC"
2926,14,,90 days,Local airtel to airtel mobile calls @ 10p/min -- Applicable only for new subscribers as FRC/SRC
2927,51,,35 Days,All Unlimited Local + STD calls in National Roaming (35 Days). For 4G H/s and 4G SIM (84 days) -- Applicable only on FRC 449(T&C apply) -- Applicable only for new subscribers as FRC/SRC
2928,55,20,90 days,"50 MB 4G/3G Data (30 days) -- All mobile calls @1.5p/sec, Landline @2.5p/sec -- Applicable only for new subscribers as FRC/SRC"
2929,62,27,90 days,"50 MB 4G/3G Data (30 days) -- All mobile calls @1.5p/sec, Landline @2.5p/sec -- Applicable only for new subscribers as FRC/SRC"
2930,88,53,90 days,"50 MB 4G/3G Data (30 days) -- All mobile calls @1.5p/sec, Landline @2.5p/sec -- Applicable only for new subscribers as FRC/SRC"
2931,122,7,90 days,"500 MB 3G/4G (30 days) Data -- All local STD mobile calls @1.5p/sec, LL 2.5p/sec  -- Applicable only for new subscribers as FRC/SRC"
2932,131,108,90 days,"50 MB 3G/4G Data (30 days) -- All local STD mobile calls @1.5p/sec, LL @2.5p/sec -- Applicable only for new subscribers as FRC/SRC"
2933,144,,28 days,Unlimited Local & STD Airtel calls -- 2 GB data on 4G Handset with 4G SIM and 1 GB for others -- T&C apply -- Applicable only for new subscribers as FRC/SRC
2934,198,,84 days,"Unlimited local + STD airtel to airtel calls, 150 min other local + STD calls -- 2 GB for 4G HS + 4G Sim, 1 GB for others (28 days) -- Applicable only for new subscribers as FRC/SRC"
2935,201,175,90 days,"50 MB 3G/4G Data (30 days) -- All local STD mobile calls at 1.5p/sec, LL 2.5p/sec -- Applicable only for new subscribers as FRC/SRC"
2936,293,,84 days,4G handset with 4G SIM: Unlimited Local + STD Airtel mobile -- 1 GB/day Data (84 days) Other handset: Unlimited Local + STD -- 2 GB Data (35 days) -- T&C apply -- Applicable only for new subscribers as FRC/SRC
2937,344,,28 days,Unlimited all Local + STD calls -- 1 GB/day 3G/4G data -- T&C apply. -- Applicable only for new subscribers as FRC/SRC
2938,449,,84 days,Unlimted all Local + STD Calls -- 1 GB data/day on 4G Handset & 4G SIMOther handset: Unlimted Local + STD Calls -- 2 GB data (35 days) --  T&C apply -- Applicable only for new subscribers as FRC/SRC
2939,604,,84 days,Unlimted Local +STD Calls -- 2 GB data/day on 4G Handset & 4G SIM (84 days) and 2.5 GB for others (35 days). T&C apply. -- Applicable only for new subscribers as FRC/SRC
2940,844,,84 days,Unlimted Local +STD Mobile Calls -- 3 GB data/day on 4G Handset & 4G SIM  & 5 GB for others (35 days)  -- T&C apply -- 
