id,cost,talktime,validity,comments
13552,16,,1 day,1 GB 3G Data valid for Same Day
13553,26,,3 days,"124 MB 3G (Note :Post MRP 298 Recharge, If customer Recharge with Rs 26 within validity period of MRP 298 will get 1 GB 3G Data every time , this data valid till pack 298 validity)"
13554,38,,5 days,180 MB 3G.
13555,45,,5 days,220 MB 3G Data
13556,51,,5 days,500 MB 3G valid for 5 Day
13557,86,,3 days,400 MB
13558,89,,28 days,1 GB/ Day 3G Data
13559,95,,7 days,750MB 3G 
13560,97,,28 days,300 MB 3G.
13561,98,,3 days,1 GB 3G data for 3 days (Beyond Free Quota: 4p/10kb)
13562,116,,2 days,1.5 GB 3G data.
13563,123,,28 days,1GB 3G Data + Promo TT Rs 30 valid for 7 days (Beyond Free Quota: 4p/10kb)
13564,124,,10 days,750 MB 3G data.
13565,152,,28 days,Unltd Local & STD R-R Calls -- 3 GB 3G Data -- All R -Others calls @1p/sec + Free Incoming Roaming
13566,153,,14 days,1 GB 3G Data -- 60 mins calls to any network/Day 
13567,156,,14 days,800 MB 3G data .
13568,177,,21 days,1GB 3G data.
13569,192,,21 days,1GB Data
13571,199,,28 days,2 GB 3G Data -- Unlimited R2R Call 1250 min other Calls Roaming IC Free
13572,246,,28 days,1.75 GB 3G
13573,297,,28 days,2.5 GB 3G data.
13574,298,,28 days,"2GB 3G Data (Note :Post MRP 298 Recharge, If customer Recharge with Rs 26 within validity period of MRP 298 will get 1 GB 3G Data every time , this data valid till pack 298 validity)"
13575,303,,28 days,1 GB 3G Data -- 60 mins calls to any network/Day
13576,359,,28 days,2.5 GB
13577,399,,28 days,5 GB All Time 3G Data + 5GB Night 3G Data
13578,495,,28 days,5 GB 3G Data (Beyond Free Quota: 4p/10kb)
13580,499,,28 days,5 GB 3g.
13581,501,,28 days,5 GB 3G Data -- Unlimited R2R Call 3300 min other Calls Roaming IC Free
13582,545,,90 days,1GB 3G Data + 60 mins calls to any network / Day 
13583,649,,60 days,6.5 GB 3G
13584,786,,180 days,1GB/ DAY 3G Data
13585,998,,28 days,9.5 GB
13586,1298,,28 days,15 GB
13587,1299,,30 days,15 GB Unlimited
