id,cost,talktime,validity,short description,long description
13496,15,15,2 days,Recharge of Rs. 15 by RelianceGSM,Rs 15 Talktime (In Promo) -- 5 night Local min (2 Days)
13497,25,25,4 days,Recharge of Rs. 25 by RelianceGSM,Rs 25 Talktime (In Promo) --  5 Night Local min for 2 Days.
13498,35,35,10 days,Recharge of Rs. 35 by RelianceGSM,Rs 35 Talktime (In Promo) for 0 Days -- 2 Local SMS for 2 days.
13499,55,55,N.A,Recharge of Rs. 55 by RelianceGSM,Rs 43 Core TT + Rs12 Promo TT -- 2 Local SMS valid for 2 days
13500,65,70,N.A,Recharge of Rs. 65 by RelianceGSM,"Rs 70 Talktime ( Rs 39.5 Core Talktime & Rs 30.5 Promo Talktime, promo talktime valid for 5 Days) --  2 Local SMS(5 Days)"
13501,69,69,30 days,Recharge of Rs. 69 by RelianceGSM,Full talktime Rs 69 (in Promo) --  Unlimited R2R Local Mobile Night Calls (Night timing 11PM to 6am)
13503,111,111,N.A,Recharge of Rs. 111 by RelianceGSM,10 Local SMS (7 days)
13504,222,222,N.A,Recharge of Rs. 222 by RelianceGSM,15 Local SMS (7 days)
13505,333,333,N.A,Recharge of Rs. 333 by RelianceGSM,20 Local SMS (7 days)
13510,37,29.46,N.A,Recharge of Rs. 37 by RelianceGSM, 5 Local and National SMS Valid for 1 day (same day)
13512,47,40,28 days,Recharge of Rs. 47 by RelianceGSM,Promo Talktime 40 for 28 days -- 10 local Reliance to Reliance night minutes for 1 day (Night minutes from 11 PM to 6 AM)
13515,63,41,90 days,Recharge of Rs. 63 by RelianceGSM,Rs 41 Promo Talktime -- 20 Local Reliance to reliance minutes (2 Days)
13516,74,47,60 days,Recharge of Rs. 74 by RelianceGSM,Rs 47 Promo Talktime -- 20 Local Reliance to reliance minutes (2 Days)
13517,76,47,70 days,Recharge of Rs. 76 by RelianceGSM,Rs 47 Promo Talktime -- 20 Local Reliance to reliance minutes (2 Days)
13525,247,75,28 days,Recharge of Rs. 247 by RelianceGSM,1 GB 3G Data -- Rs 75 promo talktime .
13535,33,,2 days,Recharge of Rs. 33 by RelianceGSM,1GB + 1 Hour All Calls to any N/W
13547,193,,28 days,Recharge of Rs. 193 by RelianceGSM,30 Mins All Calls -- 1 GB/ Day Data 
13549,299,,28 days,Recharge of Rs. 299 by RelianceGSM,2 GB Data -- Unlimited Local and STD Reliance to Reliance calls + 1900 Local and STD minutes to other network -- Free Incoming roaming.Post 1900 Local & STD minutes all calls @20p/min
13550,349,,28 days,Recharge of Rs. 349 by RelianceGSM,Unlimited Calls to any Network -- 1 GB/ Day Data -- FUP-150 Mins Per Day
