id,cost,talktime,validity,comments
17474,8,,180 days,All Mobile Calls at 80p/m & All Landline Calls at Rs.1/ min
17475,26,,3 days,110 Local V2V minutes
17476,39,,28 days,All local mobile calls @30p/m
17477,46,,28 days,500 Local V2V night minutes (11 PM - 6 AM)
17478,49,,28 days,All Local calls @35p/m & STD calls @30p/m
17479,54,,28 days,All local mobile at 40p/m
17480,55,,21 days,Local V2V calls @20p/m
17481,59,,28 days,Local V2V at 25p/m and Local V2O mobile at 45p/m
17482,64,,42 days,All Local Mobile Calls at 40p/m & STD mobile calls @35p/m
17483,65,,28 days,Local V2V calls @20p/m
17484,66,,28 days,All local mobile calls @1.4p/2s 
17485,79,,56 days,All local mobile calls @30p/m
17486,93,,84 days,All mobile calls 1p/sec
17487,95,,28 days,Local V2V calls @10p/min
17488,98,,56 days,All Local and STD calls @30p/m
17489,105,,56 days,All local mobile calls at 40p/m
17490,118,,56 days,Local V2V calls @10p/min
17491,127,,84 days,Local mobile calls @40p/m & STD mobile calls @35p/m
17492,151,,84 days,Local mobile calls at 40p/m
17493,205,,28 days,475 local V2V and 125 other local minutes
17494,235,,28 days,1200 Local Vodafone to Vodafone minutes
17495,249,,28 days,650 local minutes
