id,cost,talktime,validity,comments
17405,10,7.47,N.A,Talktime of Rs. 7.47 for Rs. 10 recharge by Vodafone
17406,20,14.95,N.A,Talktime of Rs. 14.95 for Rs. 20 recharge by Vodafone
17407,25,18.69,N.A,Talktime of Rs. 18.69 for Rs. 25 recharge by Vodafone
17408,30,22.42,N.A,Talktime of Rs. 22.42 for Rs. 30 recharge by Vodafone
17409,40,30.9,N.A,Talktime of Rs. 30.9 for Rs. 40 recharge by Vodafone
17410,43,33.44,N.A,Talktime of Rs. 33.44 for Rs. 43 recharge by Vodafone
17411,50,39.37,N.A,Talktime of Rs. 39.37 for Rs. 50 recharge by Vodafone
17413,63,50.39,N.A,Talktime of Rs. 50.39 for Rs. 63 recharge by Vodafone
17414,100,81.75,N.A,Talktime of Rs. 81.75 for Rs. 100 recharge by Vodafone
17415,115,94.46,N.A,Talktime of Rs. 94.46 for Rs. 115 recharge by Vodafone
17416,120,98.69,N.A,Talktime of Rs. 98.69 for Rs. 120 recharge by Vodafone
17417,125,102.93,N.A,Talktime of Rs. 102.93 for Rs. 125 recharge by Vodafone
17418,150,147,N.A,Talktime of Rs. 147 for Rs. 150 recharge by Vodafone
17419,165,136.83,N.A,Talktime of Rs. 136.83 for Rs. 165 recharge by Vodafone
17420,200,169.49,N.A,Talktime of Rs. 169.49 for Rs. 200 recharge by Vodafone
17422,270,225.81,N.A,Get Surprise Talktime between Rs.234 to Rs.334
