id,cost,talktime,validity,comments
710,13,,2 days,200 MB Data
711,17,,3 Days,"1 GB/Day Data, Base Rate @ 15p/10kb within Pack Validity"
712,24,,30 days,"200 MB Data, base rate @ 40p/MB post data expiry but within validity"
713,28,,6 days,"1 GB/Day Data, Base Rate @ 15p/10kb within Pack Validity"
714,42,,5 days,"100 MB Data, base rate @ 15p/10kb post data expiry but within validity"
715,47,,28 days,"500 MB Data, base rate @ 15p/10kb post data expiry but within validity"
716,59,,28 days,"1 GB Data, base rate @ 15p/10kb post data expiry but within validity"
717,79,,28 days,"2 GB Data, base rate @ 15p/10kb post data expiry but within validity"
718,98,,28 days,"100 GB Internet, base rate @ 15p/10kb post data expiry but within validity"
719,128,,42 days,100% Unlimited Internet
720,148,,60 days,100% Unlimited Internet
