id,cost,talktime,validity,comments
3035,9,,7 days,All Local mobile calls @30p/min
3036,13,,28 days,"Local mobiles calls@30p/min, (1st 2min Loc mob calls@ 2p/sec)"
3037,14,,28 days,All Local + STD Airtel Mobile calls @15p/min. (1st 2 Min of the day @2p/sec)
3038,15,,2 days,27 Local Mobile Mins
3039,16,,10 days,All Local Airtel mobile calls @10p/min
3040,17,,28 days,Local mobile calls @1p/s
3041,19,,4 days,Local Mobile @1.4p/2s
3042,21,,56 days,"Local airtel mobile calls@10p/min, (1st 2min loc A2A calls@ 2p/sec)"
3043,26,,70 days,"Local mobiles calls@30p/min, (1st 2min calls@ 2p/sec)"
3044,28,,56 days,local mobile calls @1p/sec 
3045,31,,3 days,75 Local Mobile mins
3046,33,,28 days,Local mobiles calls@ 30p/min
3047,34,,28 days,All Local Airtel Mobile calls @10p/m
3048,37,,28 days,1.8p/2sec local+STD mobile calls
3049,45,,5 days,150 Local Airtel Mobile minutes
3050,46,,28 days,Local+STD mobiles calls@30p/min
3051,48,,7 days,80 Local Mobile Mins
3052,52,,56 days,Local mobiles calls@ 30p/min
3053,53,,7 days,4500 Local Mobile Secs
3054,57,,28 days,Now enjoy your home call rates on roaming too
3055,71,,90 days,All Local mobile calls @1p/sec
3056,78,,56 days,Local+STD mobiles calls@30p/min
3057,95,,28 days,12000 Local + STD Mobile Seconds
3058,105,,28 days,270 Local mobile mins
3059,108,,28 days,14000 Local Mobile Seconds
3060,109,,90 days,All Local mobile calls @ 1.8p/2s
3061,144,,28 days,18000 Local Mobile Seconds
3062,195,,5 days,Unlimited All Local Call (T&C) 
3063,198,,28 days,26000 Local Mobile Seconds
3064,209,,28 days,600 mins local + STD mobile calls
3065,239,,28 days,35000 secs Local + STD mobile calls
3066,299,,4 days,All Local and STD calls free
