id,cost,talktime,validity,short description,long description
6248,3,,1 day,Recharge of Rs. 3 by BSNL,Data charges @ 9paisa/MB from 02.00AM to 06.00AM
6249,4,,Till midnight,Recharge of Rs. 4 by BSNL,20MB 2G/3G Data
6250,17,,1 day,Recharge of Rs. 17 by BSNL,110 MB 2G/3G
6251,32,,3 days,Recharge of Rs. 32 by BSNL,150 MB 2G/3G Data
6252,43,,5 days,Recharge of Rs. 43 by BSNL,200 MB 2G/3G
6253,46,,2 days,Recharge of Rs. 46 by BSNL,1GB free and beyond freebies. volume based data charging 5paisa/MB from 0200 hours to 0600 hours
6254,56,,21 days,Recharge of Rs. 56 by BSNL,250MB 2G/3G Data
6255,63,,28 days,Recharge of Rs. 63 by BSNL,Data charges @ 9paisa/MB from 02.00AM to 06.00AM
6256,68,,1 day,Recharge of Rs. 68 by BSNL,1 GB 2G/3G Data
6257,74,,5 days,Recharge of Rs. 74 by BSNL,Unlimited onnet voice calls local/STD -- 1 GB free 2G/3G data -- 74minoffnet voice calls
6258,78,,3 days,Recharge of Rs. 78 by BSNL,2GB  2G/3G Data -- Double data offer from 15 to 20 Aug 2017
6259,98,,10 days,Recharge of Rs. 98 by BSNL,1300MB  2G/3G Data -- Double data offer from 15 to 20 Aug 2017
6260,103,,5 days,Recharge of Rs. 103 by BSNL,1 GB 2G/3G Data -- 140+ TV channels
6261,152,,28 days,Recharge of Rs. 152 by BSNL,Unlimited voice calls on BSNL network (Local/STD) + 200 minutes free voice calls on other network (Local/STD)( thereafter off-net calls will be charged as per base plan) -- 2 GB 2G/3G data.
6262,155,,17 days,Recharge of Rs. 155 by BSNL,1.5GB  2G/3G Data -- Double data offer from 15 to 20 Aug 2017
6263,156,,10 days,Recharge of Rs. 156 by BSNL,2 GB 2G/3G Data. Data charges after freebies 3P/10KB
6264,178,,17 days,Recharge of Rs. 178 by BSNL,1 GB Data 
6265,179,,17 days,Recharge of Rs. 179 by BSNL,1 GB Data & No.of Free TV Channels equal to all Channels provided by Digivive Services Pvt. Ltd
6266,182,,17 days,Recharge of Rs. 182 by BSNL,1 GB Data 
6267,197,,25 days,Recharge of Rs. 197 by BSNL,2.2GB  2G/3G Data -- Double data offer from 15 to 20 Aug 2017
6268,211,,15 days,Recharge of Rs. 211 by BSNL,1 GB 2G/3G Data with MobileTV
6269,223,,28 days,Recharge of Rs. 223 by BSNL,Free Data download 1GB. -- Free No.Of TV Channels by M/s SITI Networks Limited=80
6270,291,,27 days,Recharge of Rs. 291 by BSNL,4GB  2G/3G Data -- Double data offer from 15 to 20 Aug 2017
6271,333,,56 days,Recharge of Rs. 333 by BSNL,"Triple Ace_333: 3 GB/Day 2G/3G Data, Post 3GB/day unlimited internet @ 80kbps"
6272,339,,26 days,Recharge of Rs. 339 by BSNL,Unlimited local/STD BSNL to BSNL + Local/STD BSNL to Others: 30 minutes/day and 25P/minutes after that 30 minutes/day -- Unlimited 2G/3G data (with FUP of 3 GB per day with no speed restriction and thereafter with speed restriction of 80kbps.)
6273,349,,26 days,Recharge of Rs. 349 by BSNL,DilKholkeBolSTV_349: Unlimited voice (Local/STD) in Home LSA -- Unlimited 2G/3G Data (speed reduced to 80kbps after 2.5 GB)
6274,379,,30 days,Recharge of Rs. 379 by BSNL,Unlimited (speed restricted to 80 kbps after 4 GB/day 2G/3G Data) -- On-net Unlimited Off-net 30 min/day
6275,395,,60 days,Recharge of Rs. 395 by BSNL,NehleperDehlaSTV_395: Unlimited 2G/3G Data (2 GB/Day.Speed reduced to 80kbps after 2 GB/day) -- Free 3000 Minutes On-net Voice (Local/STD) + Free 1800 Minutes Off-net Voice (Local/STD).(Callcharges after free calls 20ps/Min.)
6276,443,,60 days,Recharge of Rs. 443 by BSNL,3 GB 2G/3G Data
6277,444,,90 days,Recharge of Rs. 444 by BSNL,"Chaukka_444: 4 GB/Day 2G/3G Data, Post 4GB/day unlimited internet @ 80kbps"
6278,548,,90 days,Recharge of Rs. 548 by BSNL,Unlimited (speed restricted to 80 kbps after 5 GB/day 2G/3G Data)
6279,549,,30 days,Recharge of Rs. 549 by BSNL,6 GB 2G/3G Data
6280,561,,90 days,Recharge of Rs. 561 by BSNL,8GB  2G/3G Data -- Double data offer from 15 to 20 Aug 2017
6281,597,,180 days,Recharge of Rs. 597 by BSNL,6GB 2G/3G Data
6282,821,,120 days,Recharge of Rs. 821 by BSNL,12GB  2G/3G Data -- Double data offer from 15 to 20 Aug 2017
6283,1099,,30 days,Recharge of Rs. 1099 by BSNL,Unlimited 2G/3G data with no speed restriction.
6284,1197,,365 days,Recharge of Rs. 1197 by BSNL,14GB 2G/3G Data
6285,1498,,365 days,Recharge of Rs. 1498 by BSNL,36GB  2G/3G Data -- Double data offer from 15 to 20 Aug 2017
6286,1949,,270 days,Recharge of Rs. 1949 by BSNL,40GB  2G/3G Data -- Double data offer from 15 to 20 Aug 2017
6287,2798,,365 days,Recharge of Rs. 2798 by BSNL,72GB  2G/3G Data -- Double data offer from 15 to 20 Aug 2017
6288,3099,,60 days,Recharge of Rs. 3099 by BSNL,15 GB 2G/3G Data -- Unlimited Onnet Voice calls with Roaming + 500 Min offnet calls with roaming.
6289,3998,,365 days,Recharge of Rs. 3998 by BSNL,110GB  2G/3G Data -- Double data offer from 15 to 20 Aug 2017
6290,4498,,365 days,Recharge of Rs. 4498 by BSNL,160GB  2G/3G Data -- Double data offer from 15 to 20 Aug 2017
