id,cost,talktime,validity,short description,long description
10723,18,,1 hour,Recharge of Rs. 18 by Idea,Unlimited 3G/4G Data -- 
10724,24,,28 days,Recharge of Rs. 24 by Idea,80 MB 3G/4G Data -- Overage: 4ps/10KB
10725,33,,3 days,Recharge of Rs. 33 by Idea,130 MB 3G/4G Data -- Overage: 4ps/10KB
10726,39,,5 days,Recharge of Rs. 39 by Idea,215 MB 3G/4G Data -- Overage: 4ps/10KB
10727,44,,28 days,Recharge of Rs. 44 by Idea,150MB 3G/4G -- Overage: 4ps/10KB
10728,46,,2 days,Recharge of Rs. 46 by Idea,1 GB 3G/4G data -- Overage: 4ps/10KB
10729,52,,7 days,Recharge of Rs. 52 by Idea,295 MB 3G/4G data -- Overage: 4ps/10KB
10730,54,,28 days,Recharge of Rs. 54 by Idea,1 GB 3G/4G Data -- Overage: 4p/10KB -- Available only after Long Term Plan Recharge of MRP 1498
10732,98,,12 days,Recharge of Rs. 98 by Idea,550 MB 3G/4G data -- Overage: 4p/10KB  -- 
10733,99,,5 days,Recharge of Rs. 99 by Idea,1 GB 3G/4G Data -- Overage: 4ps/10KB
10734,103,,21 days,Recharge of Rs. 103 by Idea,420 MB 3G/4G data -- Overage: 4ps/10KB
10735,103,,28 days,Recharge of Rs. 103 by Idea,2 GB 3G/4G Data -- Overage: 4p/10KB -- Available only after Long Term Plan Recharge of MRP 1498
10736,103,,28 days,Recharge of Rs. 103 by Idea,1 GB 3G/4G Data -- Overage: 4p/10KB -- Available only after Long Term Plan Recharge of MRP 751
10737,104,,11 days,Recharge of Rs. 104 by Idea,270 MB 3G/4G Data -- Overage: 4ps/10KB
10738,105,,28 days,Recharge of Rs. 105 by Idea,350 MB 3G/4G data -- Overage: 4ps/10KB -- 
10739,121,,28 days,Recharge of Rs. 121 by Idea,1 GB 3G/4G Data -- Overage: 4p/10KB -- Available only after Long Term Plan Recharge of MRP 485
10740,123,,12 days,Recharge of Rs. 123 by Idea,500 MB 3G/4G Data -- Overage: 4ps/10KB
10741,142,,28 days,Recharge of Rs. 142 by Idea,1 GB 3G/4G data (Applicable for 4G handsets only) -- Overage: 4ps/10KB
10742,143,,7 days,Recharge of Rs. 143 by Idea,2 GB 3G/4G Data -- Overage: 4ps/10KB
10743,159,,28 days,Recharge of Rs. 159 by Idea,550 MB 3G/4G Data -- Overage: 4ps/10KB
10744,178,,28 days,Recharge of Rs. 178 by Idea,1 GB 3G/4G Data -- Overage: 4ps/10KB
10745,246,,28 days,Recharge of Rs. 246 by Idea,4 GB 3G/4G Data -- Applicable for 4G handsets only -- Overage: 4ps/10KB
10746,249,,28 days,Recharge of Rs. 249 by Idea,1.5 GB 3G/4G Data -- Overage: 4ps/10KB
10747,254,,28 days,Recharge of Rs. 254 by Idea,5 GB 3G/4G Data -- Overage: 4p/10KB -- Available only after Long Term Plan Recharge of MRP 1498
10748,254,,28 days,Recharge of Rs. 254 by Idea,2.5 GB 3G/4G Data -- Overage: 4p/10KB -- Available only after Long Term Plan Recharge of MRP 751
10749,255,,28 days,Recharge of Rs. 255 by Idea,Unlimited Data ( FUP 1GB/Day 4G/3G/2G) Only for 4G smartphone upgrade.Max 3 recharges till 30/6/2017 -- Overage: 4ps/10KB
10750,298,,28 days,Recharge of Rs. 298 by Idea,Surprise data benefit between 1.75 GB to 10 GB. *Upto a maximum of 10 GB 3G/4G data subject to time of recharge by subscriber -- Overage: 4ps/10KB
10751,349,,28 days,Recharge of Rs. 349 by Idea,2.5 GB 3G/4G Data -- Overage: 4ps/10KB
10752,395,,28 days,Recharge of Rs. 395 by Idea,3 GB 3G/4G Data -- Overage: 4ps/10KB
10753,447,,28 days,Recharge of Rs. 447 by Idea,3.5 GB 3G/4G Data -- Overage: 4ps/10KB
10754,485,,6 months,Recharge of Rs. 485 by Idea,4 GB 3G/4G data (28 days) -- For 6 months enjoy 1 GB 3G/4G data (28 days) @ Rs.121 (On every recharge of RV 121) -- Overage: 4p/10KB
10755,496,,28 days,Recharge of Rs. 496 by Idea,10 GB 3G/4G Data -- Applicable for 4G handsets only -- Overage: 4ps/10KB
10756,499,,28 days,Recharge of Rs. 499 by Idea,4 GB 3G/4G Data -- Overage: 4ps/10KB
10757,649,,28 days,Recharge of Rs. 649 by Idea,5.5 GB 3G/4G Data -- UNLIMITED (FUP @5.5 GB 3G/4G) speed upto 40 kbps after FUP limit
10758,749,,28 days,Recharge of Rs. 749 by Idea,6.5 GB 3G/4G Data -- FUP limit: UNLIMITED (FUP @6.5 GB) and After 6.5 GB speed upto 40 Kbps
10759,751,,6 months,Recharge of Rs. 751 by Idea,7 GB 3G/4G data (28 days) -- For 6 months enjoy 1 GB 3G/4G data (28 days) @ Rs.103 & 2.5 GB 3G/4G data (28 days) @ Rs.254 (On every recharge of RV 103& 254) -- Overage: 4p/10KB
10760,1099,,28 days,Recharge of Rs. 1099 by Idea,11 GB 3G/4G Data -- UNLIMITED (FUP @11 GB 3G/4G) speed upto 40 Kbps after FUP limit 
10761,1498,,12 months,Recharge of Rs. 1498 by Idea,"15 GB 3G/4G data (28 days) -- For 12 months enjoy1 GB 3G/4G data (28 days) @ Rs.54, 2 GB 3G/4G data (28 days) @ Rs.103 & 5 GB 3G/4G data (28 days) @ Rs.254 (On every recharge of RV 46,103 & 254) -- Overage: 4p/10KB"
10762,1499,,28 days,Recharge of Rs. 1499 by Idea,15 GB 3G/4G Data -- FUP limit: UNLIMITED (FUP @15 GB) and After15 GB speed upto 40 Kbps
